WBID,mean,median,sd,logMean,logSd,logVar,n,min(count),max(count)
WBGene00000001,28.5,29.5,10.5017005425652,3.3499040872746,2.35153720048473,4.70307440096946,8,9,41
WBGene00000002,41.4,24.5,49.8330928485995,3.72328088083127,3.90867927837038,7.81735855674075,8,0.2,121
WBGene00000003,32.625,24,30.7428853558022,3.48507886564286,3.42565859693922,6.85131719387843,8,3,75
WBGene00000004,156.875,107.5,142.791994073297,5.05544930988605,4.96138898442136,9.92277796884272,8,6,341
WBGene00000005,3.0375,3,2.56177254482684,1.11103480866667,0.940699419215943,1.88139883843189,8,0.1,7
WBGene00000006,6.725,1.5,10.7940128907517,1.9058319254879,2.37899161844733,4.75798323689467,8,0.1,30
WBGene00000007,1.1125,0.2,1.86274566932027,0.106609735058258,0.622051565563893,1.24410313112779,8,0,5
WBGene00000008,0.0125,0,0.0353553390593274,-4.38202663467388,-3.34230586383396,-6.68461172766793,8,0,0.1
WBGene00000009,1.55,0.3,2.45996515654766,0.438254930931155,0.900147185838946,1.80029437167789,8,0,6
WBGene00000010,22.625,18.5,13.0267581758252,3.11905548958599,2.56700556323808,5.13401112647617,8,4,49
WBGene00000012,0.3,0.15,0.362530786869986,-1.20397280432594,-1.01464587899718,-2.02929175799436,8,0,1
WBGene00000013,0.1125,0,0.210017006114131,-2.18480205733766,-1.56056677004763,-3.12113354009526,8,0,0.6
WBGene00000014,0.075,0,0.212132034355964,-2.59026716544583,-1.55054639460591,-3.10109278921182,8,0,0.6
WBGene00000015,0.0125,0,0.0353553390593274,-4.38202663467388,-3.34230586383396,-6.68461172766793,8,0,0.1
WBGene00000016,0.1875,0.05,0.285043856274785,-1.67397643357167,-1.25511222888614,-2.51022445777229,8,0,0.8
WBGene00000017,0.6125,0.15,1.37574655057847,-0.490206336563255,0.318996529652007,0.637993059304015,8,0,4
WBGene00000018,43.375,46.5,34.4795488038096,3.76988323826702,3.54036635997349,7.08073271994698,8,3,90
WBGene00000019,0.1,0.05,0.14142135623731,-2.30258509299405,-1.95601150271407,-3.91202300542815,8,0,0.4
WBGene00000020,2.75,3,2.42546019197536,1.01160091167848,0.886021276272165,1.77204255254433,8,0.2,8
WBGene00000022,1.475,1.5,1.30137290142811,0.388657989791783,0.263419785231028,0.526839570462056,8,0.1,4
WBGene00000023,0.5625,0.5,0.306768875307034,-0.575364144903562,-1.18166066409094,-2.36332132818188,8,0.2,1
WBGene00000024,0.125,0,0.353553390593274,-2.07944154167984,-1.03972077083992,-2.07944154167984,8,0,1
