"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00000001",226.099944487223,7.82081682764914,0.0436505376163148,179.168854605952,0,0
"WBGene00000002",167.150840263325,7.38500679714215,0.120857313627438,61.1051708455778,0,0
"WBGene00000003",144.894522581649,7.17885924779135,0.103071527842217,69.6492949903762,0,0
"WBGene00000004",579.292787424576,9.17814889239609,0.109926904014194,83.4931991827135,0,0
"WBGene00000005",26.1931805790961,4.71111934843176,0.14496765989825,32.4977264014498,1.14813595689058e-231,3.64828769730621e-231
"WBGene00000006",116.340524567427,6.86220990403105,0.13764401695133,49.8547634399357,0,0
"WBGene00000007",26.324976630596,4.71836034541895,0.168733743427343,27.9633477547465,4.53700171648422e-172,1.32032891954152e-171
"WBGene00000008",7.91260199014657,2.98415219039948,0.224664957842422,13.2826775437429,2.91771397949004e-40,6.2523809207658e-40
"WBGene00000009",10.7610501755109,3.42774697288138,0.165092183146065,20.76262429608,9.42751805052484e-96,2.36811310194418e-95
"WBGene00000010",182.8967350878,7.51488551136391,0.0584411182040537,128.589009627175,0,0
"WBGene00000012",1.6067806938864,0.684173032041397,0.160059269273485,4.27449803530208,1.91568394457551e-05,2.71738540868265e-05
"WBGene00000013",19.5484662805234,4.28898351693244,0.235351505750586,18.223735188156,3.34521105145783e-74,7.97495776348931e-74
"WBGene00000014",0.408618380507879,-1.29117399392158,0.379616460210792,-3.40125924256451,0.000670761840376544,0.000811385426266236
"WBGene00000015",2.18195582922917,1.12562189652997,0.288668016599014,3.89936477823784,9.64453814530846e-05,0.000126509547931736
"WBGene00000016",27.7054474778349,4.79209776345711,0.214637003989415,22.3265218689571,2.04215993563977e-110,5.29920393083144e-110
"WBGene00000017",59.5430329399213,5.8958608048063,0.204927881753996,28.7704179360227,5.03125409102561e-182,1.48559757296459e-181
"WBGene00000018",413.877398310844,8.69305965546015,0.0849738217360717,102.302797236315,0,0
"WBGene00000019",13.7710556840485,3.78356725506921,0.224101055046848,16.8833085336357,5.97030281958843e-64,1.38334735945293e-63
"WBGene00000020",262.20326565092,8.03454184371368,0.130184492990426,61.7165812851809,0,0
"WBGene00000021",3.02612998812061,1.59747396018821,0.249241956453372,6.40933004587075,1.46160477612541e-10,2.68016926089554e-10
"WBGene00000022",104.365778275136,6.70550491694717,0.13232983514206,50.6726613068671,0,0
"WBGene00000023",21.4256428924291,4.42126658901762,0.16195471676439,27.2993999640631,4.31174472132585e-164,1.23769005331918e-163
"WBGene00000024",15.6427289119145,3.96742031112966,0.283153647462589,14.0115458398036,1.32489377953814e-44,2.88894923232623e-44
"WBGene00000025",15.463862607134,3.95082881959215,0.301615771031686,13.0988800952888,3.34151759038563e-39,7.13714781447578e-39
"WBGene00000026",1.71679792118472,0.779720234295199,0.330470052518258,2.35942781608667,0.0183031413316705,0.0203794432976329
"WBGene00000027",9.31937101452398,3.22023258740651,0.342667322139265,9.3975479403833,5.58494095971724e-21,1.10171423483917e-20
"WBGene00000028",1.19886433024936,0.261668405081621,0.432661802840988,0.604787395983253,0.545320269363058,0.558498614638852
"WBGene00000029",5.19041846593179,2.37585085734755,0.332513739619689,7.14512086046402,8.9916740152422e-13,1.6824311312377e-12
"WBGene00000030",5.69490918180521,2.50967283508458,0.260293884074017,9.64168960024787,5.3303297565119e-22,1.05723275946356e-21
"WBGene00000031",150.018944823217,7.22900088967373,0.219857042680084,32.8804608738084,4.18171157114109e-237,1.33984531856281e-236
"WBGene00000032",0.150477553650705,-2.73237979495857,0.611528875860548,-4.46811246830094,7.89128157428053e-06,1.16826435340318e-05
"WBGene00000033",42.8775069154925,5.42214911856506,0.218622517646496,24.8014210838632,8.65396227529339e-136,2.36329475424331e-135
"WBGene00000034",101.788104123661,6.66942515467927,0.2233073627557,29.8665707766012,5.34950557227142e-196,1.61413883621727e-195
"WBGene00000035",76.455399439593,6.25654648620077,0.123679342312653,50.5868350300947,0,0
"WBGene00000036",141.560659053754,7.14527657331743,0.119542439262726,59.771881997604,0,0
"WBGene00000037",209.501760617647,7.71081855791737,0.143189086794616,53.8506022388246,0,0
