Gene_id,3-fold embryo Ce,4-cell embryo Ce,adult Ce,dauer larva Ce,elongating embryo Ce,embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L2d-dauer molt Ce,L3 larva Ce,L4 larva Ce,late cleavage stage embryo Ce,newly molted young adult hermaphrodite Ce,post dauer stage Ce,proliferating embryo Ce
WBGene00000001,2510,1428,7767,5547,4208,3146,441,5422,1949,14999,2965,2997,1188,2047,1897,4682,4381,14257
WBGene00000002,9774,8,633,831,12554,2052,113,8428,642,9009,1723,1145,1444,1881,2767,503,758,3912
WBGene00000003,5414,45,354,570,7180,2232,118,7831,506,13975,1036,968,1719,1431,1950,799,1213,3948
WBGene00000004,25026,167,1584,3212,33305,8023,1536,34445,3805,33977,5492,3252,1117,1098,13201,629,2512,28756
WBGene00000005,412,4,449,37,595,115,62,565,188,152,530,100,885,1617,296,1306,164,231
WBGene00000006,1396,10,461,3146,425,792,9,4521,46,17178,1709,2352,1185,1477,69,497,3075,1051
WBGene00000007,267,13,344,129,36,51,4,748,16,365,334,517,1388,1443,15,1068,559,117
WBGene00000008,2,3,32,663,0,1,2,8,7,63,26,257,157,186,7,140,355,30
WBGene00000009,340,0,38,193,71,62,4,493,31,476,27,177,42,232,14,29,167,414
WBGene00000010,2609,926,7051,2911,2316,3512,147,5676,2171,11159,1455,1815,1397,2079,933,3342,1813,19070
WBGene00000012,2,1,99,24,10,5,2,25,18,83,7,20,6,942,6,98,20,27
WBGene00000013,4,1,312,2312,3,2,1,18,6,1586,126,786,21,162,4,66,1351,24
WBGene00000014,0,0,1,15,0,0,2,3,0,31,1,8,0,9,2,0,6,8
WBGene00000015,4,0,7,43,1,5,2,4,2,75,5,15,4,54,2,18,16,18
WBGene00000016,4,7,338,1059,4,18,2,105,1,6159,419,971,482,385,6,238,1317,7
WBGene00000017,30,1,351,1667,32,17,5,347,1,23543,553,1168,744,787,9,229,1536,29
WBGene00000018,13905,870,3972,5366,20758,6679,421,28281,2510,16079,3744,4038,2508,2934,7567,1598,4504,25354
WBGene00000019,9,8,207,26,19,4,6,42,12,114,30,13,384,2084,34,852,35,47
WBGene00000020,825,51,2122,4596,983,1263,42,5051,328,56210,5603,2997,2387,2136,417,1329,2669,3909
WBGene00000021,1,11,19,2,4,3,14,43,5,12,20,9,46,1184,28,78,4,60
WBGene00000022,521,34,3873,1215,574,279,13,1944,147,33587,1544,2653,4475,3803,177,2672,2205,743
WBGene00000023,64,30,256,9,195,199,42,240,91,640,33,10,491,2694,151,584,22,591
WBGene00000024,7,0,69,8,1,31,1,296,1,65,188,29,260,7119,5,205,8,324
WBGene00000025,7,1,15,250,10,5,5,142,2,234,6,266,4,6703,6,8,35,338
WBGene00000026,0,1,5,1,0,7,3,26,2,72,8,1,0,84,2,4,2,104
WBGene00000027,20,0,7,3,7,13,5,112,3,98,9,4,13,8368,4,9,0,345
WBGene00000028,0,1,0,3,0,1,0,16,2,22,0,0,2,151,5,1,1,67
WBGene00000029,0,2,46,4,2,3,3,9,2,2,109,6,329,1505,6,135,3,6
WBGene00000030,0,4,49,176,0,10,0,17,1,30,66,62,237,1359,1,104,55,19
WBGene00000031,237,2,250,396,34,2528,7,12611,21,4747,1079,5038,1197,6120,12,433,67,6915
WBGene00000032,0,0,0,18,0,0,0,0,0,0,1,1,3,7,0,1,5,0
WBGene00000033,60,4,216,49,4,1132,4,2415,5,949,568,1274,833,3996,4,420,57,1593
WBGene00000034,512,1,385,295,28,2683,7,6224,22,1803,722,4611,1009,9227,5,550,36,3204
WBGene00000035,3941,15,519,1679,2134,961,6,4887,51,5156,648,1395,574,973,271,480,1471,1384
WBGene00000036,2831,8,654,1948,2705,1148,95,5113,864,20965,5332,2585,638,1269,584,810,2118,2419
WBGene00000037,9193,5,219,1338,5475,3051,48,14108,309,26788,2121,1439,308,441,988,135,961,5262
WBGene00000038,531,8,28,422,642,174,8,1373,30,8642,387,203,98,129,139,33,202,1012
WBGene00000039,76062,15,751,1656,79070,21634,472,74511,1111,1905,34736,8479,18383,23989,13898,856,1025,31847
WBGene00000040,10970,1330,24019,4210,19327,18240,7893,44246,16709,126227,27019,3297,40065,30070,14864,23595,9466,72349
WBGene00000041,28872,6176,59403,68426,19166,19498,716,68489,6787,178410,43060,50786,31276,45622,4820,45303,53969,55855
WBGene00000042,372,4,30,554,86,141,9,943,15,2066,863,540,125,301,17,85,540,235
WBGene00000043,157,8,34,207,16,59,8,628,11,9093,125,130,77,1061,17,82,222,394
WBGene00000044,57,8,42,879,17,81,132,496,258,4803,243,1125,67,677,100,65,537,541
WBGene00000045,51,4,14,139,22,15,8,165,6,406,30,90,30,107,13,14,93,142
WBGene00000046,575,4,14,138,745,127,108,1277,51,1579,65,86,115,492,251,59,132,888
WBGene00000047,3881,6,34,401,1772,952,11,5835,48,3157,592,548,405,609,182,182,564,1002
WBGene00000048,614,8,24,112,189,124,6,1354,32,799,509,113,41,94,20,32,74,325
WBGene00000049,166,6,22,64,27,71,3,568,14,731,39,42,35,88,14,27,25,346
WBGene00000050,338,9,51,150,169,90,4,982,39,1026,79,135,78,485,43,91,260,763
WBGene00000051,1116,9,95,571,432,248,14,1992,50,3722,802,575,194,252,72,111,628,474
WBGene00000053,294,3,5,325,266,49,10,524,17,1163,898,286,49,300,40,32,393,452
WBGene00000054,501,9,93,856,423,141,1,1079,11,1825,278,758,318,665,95,184,669,183
WBGene00000055,484,34,162,656,261,261,45,1606,258,3131,427,786,488,767,107,330,620,1135
WBGene00000056,62,16,143,369,25,125,27,1521,81,10283,76,381,73,2410,38,109,404,10419
WBGene00000057,33,14,108,843,14,41,5,159,14,3171,130,633,91,486,11,387,338,87
WBGene00000058,549,13,45,690,315,132,18,1018,43,11033,663,561,124,139,66,65,585,240
WBGene00000059,111,12,71,571,67,105,11,909,42,2802,208,628,104,687,50,81,692,1135
WBGene00000060,46,6,21,1443,46,16,4,307,16,1841,139,932,80,439,24,35,824,303
WBGene00000061,97,5,7,129,134,64,11,646,11,2627,52,160,81,156,63,33,168,349
WBGene00000062,120,9,5,550,41,31,3,282,9,2335,249,536,87,229,20,18,425,270
WBGene00000063,26648,1152,18258,11707,14281,9283,1579,63952,9254,39634,21241,57691,33394,96708,6438,23650,7642,55647
WBGene00000064,45008,12971,144667,17919,44141,64774,9835,52623,80021,72127,22956,13681,37408,94489,20660,64901,19887,602545
WBGene00000065,36660,1539,20255,14069,25702,12054,1417,73992,11576,60823,54233,57311,46799,83868,8232,28063,8076,73382
WBGene00000066,250492,827,165319,78461,294102,141916,16229,447479,38715,1557788,145528,334153,232329,453312,93268,91865,61485,225344
