"","3-fold embryo Ce","4-cell embryo Ce","adult Ce","dauer larva Ce","elongating embryo Ce","enclosing embryo Ce","fully-elongated embryo Ce","gastrulating embryo Ce","L1 larva Ce","L2 larva Ce","L2d-dauer molt Ce","L3 larva Ce","L4 larva Ce","late cleavage stage embryo Ce","newly molted young adult hermaphrodite Ce","post dauer stage Ce","proliferating embryo Ce"
"WBGene00000001",2510,1428,2246,5547,4208,441,5161,1949,12140,1181,2997,1188,960,1897,4682,4381,14257
"WBGene00000002",9774,8,280,831,12554,113,7228,642,7828,1147,1145,1444,614,2767,503,758,3912
"WBGene00000003",5414,45,212,570,7180,118,7053,506,11253,747,968,1719,550,1950,799,1213,3948
"WBGene00000004",25026,167,576,3212,33305,1536,32204,3805,26947,4274,3252,1117,385,13201,629,2512,28756
"WBGene00000005",412,4,281,37,595,62,555,188,132,525,100,885,692,296,1306,164,231
"WBGene00000006",1396,10,228,3146,425,9,4288,46,12243,1261,2352,1185,417,69,497,3075,1051
"WBGene00000007",267,13,197,129,36,4,723,16,314,331,517,1388,707,15,1068,559,117
"WBGene00000008",2,3,19,663,0,2,6,7,19,25,257,157,111,7,140,355,30
"WBGene00000009",340,0,20,193,71,4,489,31,416,22,177,42,175,14,29,167,414
"WBGene00000010",2609,926,2102,2911,2316,147,5432,2171,9228,1163,1815,1397,1101,933,3342,1813,19070
"WBGene00000012",2,1,12,24,10,2,21,18,55,7,20,6,21,6,98,20,27
"WBGene00000013",4,1,7,2312,3,1,18,6,894,120,786,21,35,4,66,1351,24
"WBGene00000014",0,0,0,15,0,2,3,0,23,1,8,0,2,2,0,6,8
"WBGene00000015",4,0,0,43,1,2,4,2,13,4,15,4,11,2,18,16,18
"WBGene00000016",4,7,70,1059,4,2,104,1,5461,372,971,482,52,6,238,1317,7
"WBGene00000017",30,1,136,1667,32,5,346,1,20223,421,1168,744,94,9,229,1536,29
"WBGene00000018",13905,870,1563,5366,20758,421,26217,2510,11995,2425,4038,2508,1267,7567,1598,4504,25354
"WBGene00000019",9,8,138,26,19,6,30,12,41,28,13,384,903,34,852,35,47
"WBGene00000020",825,51,937,4596,983,42,4615,328,41841,1994,2997,2387,834,417,1329,2669,3909
"WBGene00000022",521,34,1806,1215,574,13,1732,147,18159,1295,2653,4475,1231,177,2672,2205,743
"WBGene00000023",64,30,197,9,195,42,225,91,208,33,10,491,1284,151,584,22,591
"WBGene00000024",7,0,48,8,1,1,294,1,50,184,29,260,5939,5,205,8,324
"WBGene00000025",7,1,4,250,10,5,142,2,92,6,266,4,6370,6,8,35,338
"WBGene00000026",0,1,3,1,0,3,20,2,45,2,1,0,61,2,4,2,104
"WBGene00000027",20,0,3,3,7,5,103,3,13,6,4,13,8179,4,9,0,345
"WBGene00000028",0,1,0,3,0,0,16,2,5,0,0,2,144,5,1,1,67
"WBGene00000029",0,2,34,4,2,3,6,2,2,109,6,329,1222,6,135,3,6
"WBGene00000030",0,4,28,176,0,0,17,1,30,65,62,237,1128,1,104,55,19
"WBGene00000031",237,2,111,396,34,7,12413,21,4270,1023,5038,1197,4480,12,433,67,6915
"WBGene00000032",0,0,0,18,0,0,0,0,0,1,1,3,6,0,1,5,0
"WBGene00000033",60,4,125,49,4,4,2397,5,726,532,1274,833,2960,4,420,57,1593
"WBGene00000034",512,1,135,295,28,7,6157,22,1016,701,4611,1009,7398,5,550,36,3204
"WBGene00000035",3941,15,194,1679,2134,6,4824,51,4609,608,1395,574,275,271,480,1471,1384
"WBGene00000036",2831,8,292,1948,2705,95,4898,864,18078,1020,2585,638,387,584,810,2118,2419
"WBGene00000037",9193,5,62,1338,5475,48,13138,309,19362,863,1439,308,147,988,135,961,5262
"WBGene00000038",531,8,13,422,642,8,842,30,6940,334,203,98,89,139,33,202,1012
