,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00000001,226.0999445,7.820816828,0.043650538,179.1688546,0,0
WBGene00000002,167.1508403,7.385006797,0.120857314,61.10517085,0,0
WBGene00000003,144.8945226,7.178859248,0.103071528,69.64929499,0,0
WBGene00000004,579.2927874,9.178148892,0.109926904,83.49319918,0,0
WBGene00000005,26.19318058,4.711119348,0.14496766,32.4977264,1.15E-231,4.53E-231
WBGene00000006,116.3405246,6.862209904,0.137644017,49.85476344,0,0
WBGene00000007,26.32497663,4.718360345,0.168733743,27.96334775,4.54E-172,1.64E-171
WBGene00000008,7.91260199,2.98415219,0.224664958,13.28267754,2.92E-40,7.76E-40
WBGene00000009,10.76105018,3.427746973,0.165092183,20.7626243,9.43E-96,2.94E-95
WBGene00000010,182.8967351,7.514885511,0.058441118,128.5890096,0,0
WBGene00000012,1.606780694,0.684173032,0.160059269,4.274498035,1.92E-05,3.36E-05
WBGene00000013,19.54846628,4.288983517,0.235351506,18.22373519,3.35E-74,9.89E-74
WBGene00000014,0.408618381,-1.291173994,0.37961646,-3.401259243,0.000670762,0.000830397
WBGene00000015,2.181955829,1.125621897,0.288668017,3.899364778,9.64E-05,0.000155221
WBGene00000016,27.70544748,4.792097763,0.214637004,22.32652187,2.04E-110,6.57E-110
WBGene00000017,59.54303294,5.895860805,0.204927882,28.77041794,5.03E-182,1.84E-181
WBGene00000018,413.8773983,8.693059655,0.084973822,102.3027972,0,0
WBGene00000019,13.77105568,3.783567255,0.224101055,16.88330853,5.97E-64,1.72E-63
WBGene00000020,262.2032657,8.034541844,0.130184493,61.71658129,0,0
WBGene00000021,3.026129988,1.59747396,0.249241956,6.409330046,1.46E-10,3.33E-10
WBGene00000022,104.3657783,6.705504917,0.132329835,50.67266131,0,0
WBGene00000023,21.42564289,4.421266589,0.161954717,27.29939996,4.31E-164,1.54E-163
WBGene00000024,15.64272891,3.967420311,0.283153647,14.01154584,1.32E-44,3.58E-44
WBGene00000025,15.46386261,3.95082882,0.301615771,13.0988801,3.34E-39,8.85E-39
WBGene00000026,1.716797921,0.779720234,0.330470053,2.359427816,0.018303141,0.02006145
WBGene00000027,9.319371015,3.220232587,0.342667322,9.39754794,5.58E-21,1.37E-20
WBGene00000028,1.19886433,0.261668405,0.432661803,0.604787396,0.545320269,0.555892903
WBGene00000029,5.190418466,2.375850857,0.33251374,7.14512086,8.99E-13,2.09E-12
WBGene00000030,5.694909182,2.509672835,0.260293884,9.6416896,5.33E-22,1.31E-21
WBGene00000031,150.0189448,7.22900089,0.219857043,32.88046087,4.18E-237,1.66E-236
WBGene00000032,0.150477554,-2.732379795,0.611528876,-4.468112468,7.89E-06,1.45E-05
WBGene00000033,42.87750692,5.422149119,0.218622518,24.80142108,8.65E-136,2.93E-135
WBGene00000034,101.7881041,6.669425155,0.223307363,29.86657078,5.35E-196,2.00E-195
WBGene00000035,76.45539944,6.256546486,0.123679342,50.58683503,0,0
WBGene00000036,141.5606591,7.145276573,0.119542439,59.771882,0,0
WBGene00000037,209.5017606,7.710818558,0.143189087,53.85060224,0,0
WBGene00000038,32.85808578,5.03817653,0.154240786,32.66435972,5.01E-234,1.98E-233
WBGene00000039,1221.125095,10.25399529,0.161606901,63.45023156,0,0
WBGene00000040,1322.936028,10.36952758,0.074542464,139.1089993,0,0
WBGene00000041,2324.313415,11.1825889,0.070979269,157.5472537,0,0
WBGene00000042,24.05322247,4.588158283,0.150184484,30.55014853,5.63E-205,2.14E-204
WBGene00000043,23.52453198,4.556094116,0.179762725,25.34504361,1.02E-141,3.49E-141
