"","AtlasAssayGroup","organism","strain","genotype","organism_part","time"
"ERR3148791","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148792","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148793","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148794","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148795","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148796","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148797","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148798","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148799","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148800","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148801","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148802","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148803","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148804","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148805","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148806","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148807","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148808","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148809","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148810","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148811","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148812","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148813","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148814","g1","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","14 hour"
"ERR3148815","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148816","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148817","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148818","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148819","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148820","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148821","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148822","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148823","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148824","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148825","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148826","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148827","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148828","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148829","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
"ERR3148830","g2","Saccharomyces cerevisiae","CEN.PK 113-7D","wild type genotype","whole organism","26 hour"
