PHI	log10.PHI	Std.Dev	log10.Std.Dev	0.025	0.975	log10.0.025	log10.0.975
0.403278649	-0.4074817	0.097745254	0.10833595	0.227048778	0.616810955	-0.643881076	-0.209847956
1.339581966	0.123545006	0.173255239	0.053864805	1.074055141	1.786601623	0.031026578	0.252027724
0.917511702	-0.041622337	0.131627865	0.060028088	0.707037098	1.236886214	-0.1505578	0.092329683
0.310915768	-0.520849228	0.076390768	0.11017134	0.172211806	0.479815811	-0.763937364	-0.318925445
0.88052541	-0.059480693	0.125345252	0.060124996	0.672291287	1.178050167	-0.172442559	0.071163764
1.129338503	0.049551722	0.142953138	0.052636212	0.910533946	1.490882992	-0.04070386	0.17344356
0.920047879	-0.039954282	0.124069468	0.056660026	0.721196397	1.229557407	-0.141946458	0.089748748
0.65136379	-0.190697178	0.096045713	0.062191361	0.49893407	0.879895849	-0.301956876	-0.055568741
0.878140926	-0.060416088	0.121687189	0.058291145	0.679973415	1.180257605	-0.167508067	0.071976802
1.591414809	0.198395625	0.204978546	0.053560895	1.276361213	2.124153956	0.105973595	0.327185953
1.764574051	0.243303925	0.225020149	0.053200973	1.413864166	2.343837492	0.150407678	0.369927489
0.427324712	-0.378269613	0.087335078	0.089018797	0.276166844	0.619361713	-0.558828466	-0.20805566
0.445433587	-0.362547576	0.100407192	0.100721231	0.262637998	0.656889427	-0.580642446	-0.182507764
0.263783425	-0.587327659	0.052550904	0.086994228	0.174713234	0.385045735	-0.757674196	-0.414487722
1.670442581	0.219431147	0.215693553	0.053641242	1.346336205	2.206648374	0.129153524	0.343733121
0.807320178	-0.097322717	0.116914387	0.061165682	0.611367928	1.086185466	-0.213697348	0.035903984
0.298541993	-0.542962015	0.083477587	0.128442349	0.146275348	0.480063491	-0.834828879	-0.318701348
0.318032503	-0.504676104	0.058255273	0.078818202	0.218394534	0.448376136	-0.660758237	-0.348357661
0.287636131	-0.547860503	0.050957	0.07654069	0.204506988	0.407846697	-0.689291867	-0.389503107
1.063573837	0.022841034	0.146242788	0.057919296	0.826891031	1.414818597	-0.082551774	0.15070074
0.695572317	-0.161214247	0.091428499	0.054973887	0.554805068	0.923574981	-0.255859602	-0.034527841
0.568943918	-0.251142055	0.096846398	0.073515794	0.401640055	0.784117792	-0.396162982	-0.105618694
0.097134605	-1.05584228	0.042336233	0.202795624	0.031378818	0.192805626	-1.503364417	-0.714880492
0.902623951	-0.050314691	0.14970862	0.070941903	0.646611909	1.242952362	-0.189356715	0.094454462
0.203418389	-0.704353094	0.048828681	0.106586315	0.115852797	0.309490769	-0.936093692	-0.509352303
1.505872011	0.17442444	0.1930002	0.053396211	1.20770488	1.998051131	0.081960821	0.300606592
0.463536859	-0.339443982	0.07523504	0.068970084	0.341187421	0.635813793	-0.467007014	-0.196670056
0.870971203	-0.064276695	0.124855424	0.060522688	0.666035828	1.173165183	-0.176502416	0.069359162
0.69881618	-0.160733491	0.109007102	0.066166955	0.519959041	0.960551863	-0.284030878	-0.017479182
0.300506204	-0.535872161	0.074807551	0.110772112	0.169537619	0.463599386	-0.770733974	-0.333857202
0.118785657	-0.965749204	0.048268842	0.198788449	0.036593106	0.226588636	-1.43660096	-0.644762079
0.510017991	-0.298738867	0.088313052	0.073908947	0.359913011	0.712481809	-0.443802506	-0.14722623
0.464491069	-0.337307513	0.066839359	0.060442872	0.360095889	0.626583668	-0.443581837	-0.203020939
0.133581951	-0.92096132	0.058429693	0.213895596	0.037074075	0.261987656	-1.430929752	-0.58171917
0.753832936	-0.12693949	0.107243607	0.060048789	0.58015218	1.017767614	-0.236458074	0.007648626
0.435956001	-0.364571899	0.060889109	0.058409815	0.341949875	0.584682382	-0.466037552	-0.233080009
1.32285738	0.118414417	0.162749234	0.051221228	1.077747373	1.754124698	0.032516972	0.244060443
1.116927385	0.044532053	0.145371533	0.054520405	0.887141785	1.485176584	-0.052006967	0.17177808
0.211817473	-0.692243397	0.059770911	0.129160399	0.10613965	0.342086967	-0.974122355	-0.465863472
0.226526976	-0.666966736	0.069813581	0.143211662	0.105064372	0.380237624	-0.978544566	-0.419944942
0.918985069	-0.039521035	0.108665798	0.048790011	0.764392435	1.210718441	-0.116683629	0.083042992
1.861766934	0.267059445	0.221092185	0.049184786	1.537712916	2.44589297	0.186875262	0.388437448
0.322079271	-0.500816882	0.064798283	0.088071713	0.209763618	0.466823147	-0.678269935	-0.330847623
1.874486089	0.269483477	0.241867077	0.053649286	1.496029763	2.481944023	0.174940234	0.394791982
0.233772442	-0.642088294	0.052616301	0.097692035	0.145150901	0.351267443	-0.838180343	-0.454362106
1.864804268	0.267363548	0.235681556	0.052628194	1.505451487	2.462005327	0.17766675	0.391288869
0.554665208	-0.292938232	0.214976772	0.19088175	0.185958378	1.007890236	-0.730584263	0.003413238
1.187799454	0.064181335	0.26241655	0.09636506	0.733940725	1.776353447	-0.134339014	0.249529214
0.435566932	-0.365262449	0.063006905	0.0606596	0.337482766	0.590582839	-0.471748415	-0.228719204
1.694324613	0.225625485	0.217807023	0.053426786	1.361369587	2.231369148	0.133976044	0.348571424
0.38540563	-0.453555405	0.153526975	0.197312652	0.119186336	0.711985905	-0.923773534	-0.147528634
1.486755133	0.169007197	0.187155049	0.052287446	1.206196189	1.981776065	0.081417952	0.297054567
0.140951082	-0.882833183	0.051280738	0.174898085	0.050439112	0.249731336	-1.297232567	-0.602526974
0.192325085	-0.752321422	0.073915644	0.188466749	0.064701317	0.351845132	-1.189087228	-0.453648623
0.274721354	-0.567517042	0.047624944	0.074998077	0.200859956	0.385973644	-0.697106636	-0.413442374
0.163161516	-0.820783913	0.060787747	0.178908109	0.058579355	0.298068943	-1.232255501	-0.525683283
1.305563807	0.11224097	0.17120846	0.05505923	1.03559863	1.721974466	0.015191467	0.236026698
0.265134305	-0.588256121	0.06113556	0.102106773	0.157269952	0.400576383	-0.803354321	-0.397314664
1.176876307	0.063967794	0.209715864	0.07665033	0.823583842	1.655560281	-0.084292392	0.218944998
0.737967134	-0.135880023	0.101929826	0.057679357	0.579413585	0.994500247	-0.237011332	-0.002395144
0.926182449	-0.041159462	0.177251001	0.082780496	0.621263314	1.318197672	-0.206724299	0.119980522
0.199071363	-0.715425014	0.050677335	0.113813916	0.111624258	0.308219346	-0.952241693	-0.511140112
0.06135536	-1.273951411	0.03198096	0.242367877	0.015640741	0.13767984	-1.805742908	-0.861129667
1.184031725	0.069645301	0.158944506	0.05626104	0.936455898	1.576660012	-0.028512687	0.197737982
0.454348236	-0.349625379	0.082639776	0.078002115	0.316539349	0.641050354	-0.499572417	-0.193107957
0.978515804	-0.013320273	0.133974587	0.057616206	0.758230432	1.303337861	-0.12019879	0.115057011
1.550346017	0.187010288	0.200455287	0.053818316	1.24477272	2.063716008	0.095090061	0.314649933
0.419160306	-0.387483746	0.089444007	0.093152237	0.261994606	0.616643992	-0.581707683	-0.209965498
0.401027203	-0.411425382	0.102302319	0.11463961	0.216491923	0.621131656	-0.664558307	-0.206816342
0.826553822	-0.086983219	0.117987892	0.06037195	0.633484718	1.108175185	-0.198263863	0.044608418
0.179343536	-0.762917995	0.048877462	0.122497441	0.094260903	0.288440493	-1.025669428	-0.539943771
0.713329911	-0.152670994	0.119622156	0.071814621	0.509326379	0.98694181	-0.293003867	-0.005708596
0.50703311	-0.303010583	0.097878998	0.083982296	0.338645296	0.726863711	-0.470255054	-0.138547014
0.967368186	-0.018505909	0.135924498	0.059152388	0.747283541	1.294542818	-0.126514718	0.112116398
0.151747674	-0.853784263	0.057486742	0.184042069	0.053568257	0.277580613	-1.2710925	-0.556610871
0.790630162	-0.106272705	0.113096741	0.060232641	0.60496693	1.062953238	-0.218268365	0.026514159
0.348322928	-0.46419999	0.059574299	0.073116519	0.248795233	0.483082042	-0.604157945	-0.315979139
0.481344581	-0.322730154	0.075486153	0.066857794	0.356683427	0.660214476	-0.44771707	-0.180314959
1.49150908	0.16499123	0.299781972	0.086779549	0.988935876	2.163361128	-0.004831874	0.335129022
0.481434077	-0.327605963	0.103222531	0.095016812	0.295180012	0.706386892	-0.529913102	-0.150957371
0.341794103	-0.471796483	0.055836911	0.069046343	0.254633504	0.473426353	-0.594084479	-0.324747576
0.273210853	-0.578220785	0.069590745	0.115579569	0.14672842	0.420708816	-0.83348576	-0.376018442
0.560900867	-0.255258709	0.079608389	0.059373135	0.436090479	0.757879665	-0.360423395	-0.120399752
