PHI	log10.PHI	Std.Error	log10.Std.Error	0.025	0.975	log10.0.025	log10.0.975
0.998112798	-0.005509893	1.37E-05	6.84E-06	0.744106969	1.261093615	-0.128364629	0.100747319
1.537023187	0.182663664	2.10E-05	5.92E-06	1.1616946	1.969404236	0.065091969	0.294334866
1.69206214	0.220507503	3.23E-05	8.35E-06	1.112468201	2.379407601	0.046287606	0.376468844
0.931216896	-0.033088997	8.99E-06	4.40E-06	0.75730697	1.103626303	-0.120728047	0.042822042
0.922903299	-0.037224717	9.11E-06	4.76E-06	0.74959734	1.093854332	-0.125171963	0.038959491
0.928649485	-0.034649443	9.36E-06	4.90E-06	0.753258604	1.098980337	-0.1230559	0.040989922
1.012800097	0.001985073	1.24E-05	5.74E-06	0.777281916	1.254600921	-0.109421438	0.098505595
0.998797059	-0.044241227	4.64E-05	1.99E-05	0.368223133	2.158987248	-0.433888932	0.334249988
0.706843436	-0.15528731	9.79E-06	6.56E-06	0.509969012	0.88839276	-0.292456213	-0.051394989
0.907088399	-0.047137786	1.31E-05	6.57E-06	0.655989354	1.167233199	-0.183103209	0.067157631
0.954467893	-0.02557998	1.44E-05	7.05E-06	0.68136283	1.234161786	-0.166621566	0.091372095
0.587821543	-0.238205761	9.82E-06	8.72E-06	0.389893136	0.765722506	-0.409054427	-0.115928595
0.52517581	-0.289900422	1.06E-05	9.95E-06	0.311450879	0.727978183	-0.506610468	-0.137881637
0.921194851	-0.037139915	6.70E-06	3.98E-06	0.804273891	1.036690755	-0.09459603	0.015649225
0.721657515	-0.146823302	9.52E-06	7.58E-06	0.540286209	0.888932365	-0.267376119	-0.051131282
0.689696789	-0.167625442	1.00E-05	8.36E-06	0.493042065	0.86689281	-0.307116027	-0.062034601
0.661152184	-0.20008108	2.03E-05	1.36E-05	0.322405942	1.095394735	-0.491596973	0.039570644
0.934563756	-0.032098044	8.46E-06	5.79E-06	0.787845122	1.081163162	-0.103559166	0.03389124
0.895217597	-0.053232025	1.33E-05	6.87E-06	0.636235695	1.154495516	-0.196381972	0.06239225
0.879284382	-0.060373113	1.10E-05	6.99E-06	0.676073469	1.075413949	-0.170006148	0.031575665
0.911440909	-0.052014686	1.99E-05	1.07E-05	0.537607794	1.31292803	-0.269534444	0.118240907
1.254933119	0.092699148	2.05E-05	7.24E-06	0.870216303	1.679978388	-0.060372796	0.225303694
1.372763872	0.135095805	1.23E-05	5.51E-06	1.172314622	1.609002992	0.069044181	0.206556845
0.697567582	-0.171251222	1.76E-05	1.17E-05	0.373831838	1.05713555	-0.427323725	0.02413067
1.302670121	0.113105789	8.51E-06	5.00E-06	1.189667038	1.460378076	0.075425429	0.1644653
1.303600907	0.11372073	8.21E-06	4.37E-06	1.188932019	1.469130032	0.075157018	0.167060232
1.675988913	0.221877664	1.81E-05	4.52E-06	1.382429416	2.069326512	0.140642966	0.315828968
2.933692455	0.464503139	3.91E-05	4.74E-06	2.517430093	3.77013579	0.400957419	0.576356988
1.290087223	0.107830532	1.42E-05	5.04E-06	1.027265392	1.574838335	0.011682657	0.197235971
1.461493492	0.158547699	2.46E-05	7.43E-06	1.009287559	1.960500883	0.004014917	0.292367035
1.001244664	-0.005058742	1.50E-05	7.39E-06	0.710330339	1.296107654	-0.148539636	0.112641075
1.470847607	0.165346429	1.51E-05	4.37E-06	1.205690334	1.792351729	0.081235778	0.253423239
1.451786399	0.158749804	1.76E-05	5.24E-06	1.129955097	1.810299153	0.053061181	0.257750348
1.429602027	0.153753892	1.12E-05	3.77E-06	1.242786926	1.674707951	0.094396666	0.223939077
1.925116062	0.282937855	1.67E-05	3.58E-06	1.683426007	2.329221886	0.226194032	0.367210816
1.983298302	0.29573822	1.78E-05	3.76E-06	1.733835808	2.425211308	0.239007966	0.384749563
1.963810205	0.290307075	2.31E-05	4.86E-06	1.595172657	2.482236407	0.202807696	0.394843141
0.992955983	-0.00675336	1.17E-05	6.15E-06	0.781043845	1.212158989	-0.107324588	0.083559586
0.818078876	-0.088346556	5.72E-06	3.22E-06	0.704516928	0.921777033	-0.152108567	-0.035374117
1.28068006	0.100171126	2.33E-05	8.02E-06	0.849179017	1.755433365	-0.071000805	0.244384345
0.833870232	-0.080210246	5.98E-06	3.58E-06	0.723489346	0.940055467	-0.140567861	-0.02684652
1.256732583	0.097948305	8.85E-06	3.64E-06	1.111814166	1.433616722	0.046032203	0.156433058
1.307204843	0.115041114	9.75E-06	3.52E-06	1.142045282	1.512528277	0.057683323	0.179703501
1.398402572	0.143789768	1.14E-05	4.54E-06	1.211418312	1.624427521	0.083294134	0.210700329
1.421308756	0.151130214	1.16E-05	3.83E-06	1.233912273	1.667643216	0.091284276	0.222103125
1.84734869	0.264439315	1.86E-05	4.26E-06	1.548971674	2.246968355	0.190043474	0.35159695
1.683554649	0.224060625	1.70E-05	4.34E-06	1.400965963	2.048955441	0.146427584	0.311532514
1.059248686	0.019099398	1.67E-05	7.41E-06	0.736031755	1.388557602	-0.133103448	0.142563898
1.11422801	0.045975517	5.85E-06	3.56E-06	1.03174966	1.207993106	0.013574334	0.082064455
1.107191801	0.04280157	6.71E-06	4.39E-06	1.009006462	1.217997392	0.003893948	0.085646358
0.836698115	-0.083032839	1.20E-05	7.69E-06	0.606577347	1.054718445	-0.217113849	0.023136541
0.997133672	-0.048460454	4.73E-05	2.15E-05	0.370405672	2.185828567	-0.431322371	0.339616094
1.578877568	0.196210042	1.56E-05	4.37E-06	1.31274585	1.898875102	0.118180652	0.278496399
1.502677202	0.172383368	2.16E-05	6.27E-06	1.112336095	1.946419534	0.046236029	0.289236454
1.710261703	0.230590656	1.67E-05	5.09E-06	1.454433801	2.061531528	0.162693959	0.314189958
0.930333912	-0.03254379	6.30E-06	3.43E-06	0.817490424	1.044933922	-0.087517326	0.019088828
0.920040131	-0.045300618	1.79E-05	9.28E-06	0.574107139	1.276341569	-0.241007178	0.105966914
0.575924933	-0.245864064	8.79E-06	7.93E-06	0.394414247	0.732415983	-0.404047408	-0.135242187
1.002430558	-0.046181995	4.77E-05	2.12E-05	0.359743172	2.179041396	-0.444007488	0.338265403
1.854798198	0.266446114	1.59E-05	4.35E-06	1.625389255	2.228158335	0.210957384	0.347946044
1.182140946	0.070270084	1.05E-05	5.39E-06	1.003536401	1.381973489	0.00153313	0.140499712
0.963970482	-0.020349136	1.23E-05	6.81E-06	0.73771838	1.192597442	-0.132109452	0.076493873
1.497147799	0.168530911	2.62E-05	7.72E-06	1.00859191	2.038567859	0.003715468	0.309325105
0.893326461	-0.054031666	1.25E-05	7.07E-06	0.65433777	1.131239987	-0.184198046	0.053554748
0.905362904	-0.048169825	1.27E-05	7.02E-06	0.656733443	1.141647382	-0.182610872	0.057531985
0.828813195	-0.091455542	1.66E-05	9.82E-06	0.511495146	1.153328226	-0.291158495	0.061952918
0.959391415	-0.021941876	1.20E-05	6.20E-06	0.737795661	1.17855155	-0.132064037	0.071348575
0.969126344	-0.019271933	1.26E-05	8.48E-06	0.74024809	1.192421428	-0.130622717	0.076429772
0.952961504	-0.027770072	1.56E-05	8.33E-06	0.656743803	1.247306579	-0.182604016	0.095973213
0.885068059	-0.057610106	1.09E-05	7.29E-06	0.683410254	1.082098663	-0.165318514	0.034266859
