,elongating embryo Ce,L1 larva Ce,dauer larva Ce,adult Ce,L2L3_larva
WBGene00000001,4208,12140,5547,2246,2369
WBGene00000002,12554,7828,831,280,2591
WBGene00000003,7180,11253,570,212,2466
WBGene00000004,33305,26947,3212,576,5391
WBGene00000005,595,132,37,281,1410
WBGene00000006,425,12243,3146,228,2446
WBGene00000007,36,314,129,197,1719
WBGene00000008,0,19,663,19,182
WBGene00000009,71,416,193,20,64
WBGene00000010,2316,9228,2911,2102,2560
WBGene00000012,10,55,24,12,13
WBGene00000013,3,894,2312,7,141
WBGene00000014,0,23,15,0,1
WBGene00000015,1,13,43,0,8
WBGene00000016,4,5461,1059,70,854
WBGene00000017,32,20223,1667,136,1165
WBGene00000018,20758,11995,5366,1563,4933
WBGene00000019,19,41,26,138,412
WBGene00000020,983,41841,4596,937,4381
WBGene00000022,574,18159,1215,1806,5770
WBGene00000023,195,208,9,197,524
WBGene00000024,1,50,8,48,444
WBGene00000025,10,92,250,4,10
WBGene00000026,0,45,1,3,2
WBGene00000027,7,13,3,3,19
WBGene00000028,0,5,3,0,2
WBGene00000029,2,2,4,34,438
WBGene00000030,0,30,176,28,302
WBGene00000031,34,4270,396,111,2220
WBGene00000032,0,0,18,0,4
WBGene00000033,4,726,49,125,1365
WBGene00000034,28,1016,295,135,1710
WBGene00000035,2134,4609,1679,194,1182
WBGene00000036,2705,18078,1948,292,1658
WBGene00000037,5475,19362,1338,62,1171
WBGene00000038,642,6940,422,13,432
WBGene00000039,79070,1298,1656,204,52073
WBGene00000040,19327,111381,4210,12370,63001
WBGene00000041,19166,135273,68426,24566,65365
WBGene00000042,86,1480,554,16,269
WBGene00000043,16,870,207,12,188
WBGene00000044,17,1827,879,18,247
WBGene00000045,22,205,139,3,60
WBGene00000046,745,484,138,9,177
WBGene00000047,1772,2815,401,24,899
WBGene00000048,189,541,112,7,137
WBGene00000049,27,576,64,8,72
WBGene00000050,169,496,150,25,153
WBGene00000051,432,1780,571,45,407
WBGene00000053,266,738,325,3,101
WBGene00000054,423,1524,856,57,505
WBGene00000055,261,2388,656,113,809
WBGene00000056,25,868,369,52,135
WBGene00000057,14,1426,843,74,210
WBGene00000058,315,4348,690,18,325
WBGene00000059,67,1909,571,23,283
WBGene00000060,46,738,1443,11,200
WBGene00000061,134,1796,129,6,131
WBGene00000062,41,1128,550,2,317
WBGene00000063,14281,31862,11707,10947,50299
WBGene00000064,44141,49098,17919,76978,50039
WBGene00000065,25702,50193,14069,9741,96135
WBGene00000066,294102,1300918,78461,136492,332258
WBGene00000067,19010,74460,5831,26393,173036
WBGene00000068,6575,25587,7822,349,4330
WBGene00000069,419,6765,1436,27,420
WBGene00000070,6506,9378,2848,493,5244
WBGene00000071,876,3565,1925,239,952
WBGene00000072,914,6051,796,340,2018
WBGene00000073,2731,5657,21660,666,1843
WBGene00000074,3733,29894,3078,1233,2822
WBGene00000075,1126,1913,753,813,1380
WBGene00000079,14615,9644,9442,3974,8700
WBGene00000080,7321,5524,4697,2461,3092
WBGene00000081,8546,26513,5967,4040,16379
WBGene00000082,1381,2058,205,86,1517
WBGene00000083,1375,22103,4037,3356,12919
WBGene00000084,280,1285,397,208,1295
WBGene00000085,92,1059,565,33,263
WBGene00000086,9502,26086,6197,359,2502
WBGene00000088,108,8530,644,432,1934
WBGene00000089,279,6875,1325,144,1218
WBGene00000090,3987,19715,4715,4633,3267
WBGene00000092,6738,52592,5579,1116,2350
WBGene00000093,1152,1155,1364,537,997
WBGene00000094,2482,1739,1057,659,726
WBGene00000095,9077,10438,2959,577,2416
WBGene00000096,2270,3633,839,25,413
WBGene00000097,2946,8122,2674,835,1939
WBGene00000098,6569,1490,3081,6880,4815
WBGene00000099,3473,1782,1282,1971,1238
WBGene00000100,90781,97337,12406,4296,21054
WBGene00000101,14598,18149,14007,9757,12021
WBGene00000102,8726,65516,37478,6013,7788
WBGene00000103,2075,38626,8090,519,3109
WBGene00000105,128533,240369,15864,4862,33220
WBGene00000106,26978,38063,2497,7433,9081
WBGene00000107,9844,27727,15883,9673,28588
WBGene00000108,0,29,9788,1,4
WBGene00000109,26134,12137,8628,3038,19359
WBGene00000110,8674,51406,11418,6342,15821
WBGene00000111,1156,8003,723,201,1716
WBGene00000112,3401,10318,6395,2888,10055
WBGene00000113,1382,6293,2689,1330,3236
WBGene00000114,23632,699225,232767,50171,95957
WBGene00000115,11015,11713,11815,7878,25948
WBGene00000116,4735,2834,653,724,2074
WBGene00000117,2461,7991,2283,1285,4287
WBGene00000118,1200,26030,6471,2135,11659
WBGene00000120,11773,3557,1773,707,1676
WBGene00000121,4049,3046,3834,5589,4026
WBGene00000122,15545,25835,7675,4571,6296
WBGene00000123,22850,64095,20500,22226,20235
WBGene00000133,3,548,1707,40,78
WBGene00000134,40,976,601,6,106
WBGene00000135,28,7040,2838,25,399
WBGene00000136,347,3134,823,786,8766
WBGene00000137,6203,2781,1431,722,1427
WBGene00000138,1174,13673,2210,716,4227
WBGene00000139,1424,921,915,70,727
WBGene00000140,19971,176763,17609,4260,24073
WBGene00000142,5170,2224,3367,1765,3695
WBGene00000143,2904,2590,3461,2057,2081
WBGene00000144,240,132,1553,579,476
WBGene00000145,3306,1598,1245,987,735
WBGene00000146,19779,29100,10198,7541,9060
WBGene00000147,4307,5315,1213,1239,1034
WBGene00000148,8121,1803,3390,1421,3114
WBGene00000149,107671,459037,59076,14373,69652
WBGene00000150,12811,68706,6774,659,9013
WBGene00000151,2056,1503,2041,1063,1178
WBGene00000155,2038,6829,5562,9457,14781
WBGene00000156,24210,10721,4939,7177,6715
WBGene00000157,9401,5516,871,749,2712
WBGene00000158,19942,34017,8443,4421,14061
WBGene00000159,6376,6038,2294,1071,2564
WBGene00000160,27516,78817,7343,4892,19588
WBGene00000161,26135,32261,7774,3635,13221
WBGene00000162,8451,10027,3261,2856,4648
WBGene00000163,14644,10832,7217,4745,5872
WBGene00000164,9725,7930,1660,678,2684
WBGene00000165,5825,1763,1607,1678,2322
WBGene00000166,219,6532,882,21,575
WBGene00000168,983,713,499,5064,802
WBGene00000169,117,7384,1179,1577,4083
WBGene00000170,291717,396171,43121,1368,23123
WBGene00000171,1,13,960,39,17
WBGene00000172,3124,2715,578,368,4400
WBGene00000173,14,454,32,4,48
WBGene00000174,131,1175,1629,22,78
WBGene00000175,5372,60753,980,4699,21670
WBGene00000176,133,4543,144,1287,7915
WBGene00000177,52,1174,943,98,689
WBGene00000178,13579,9372,1508,1210,8089
WBGene00000179,6150,1929,1519,902,4431
WBGene00000180,3163,4481,2077,373,1923
WBGene00000181,5321,8141,6481,3691,10283
WBGene00000182,70308,96281,19148,11609,47553
WBGene00000183,68771,71804,25358,15334,53130
WBGene00000184,3897,4375,1382,658,2494
WBGene00000185,0,465,33,5,17
WBGene00000186,9583,13261,4338,2407,5565
WBGene00000187,6120,4115,2398,1290,3421
WBGene00000188,2291,6105,1390,32,1269
WBGene00000189,2584,1332,630,324,774
WBGene00000190,6,1869,38,9,153
WBGene00000191,20,304,147,15,56
WBGene00000192,9690,20820,4985,3533,7329
WBGene00000193,1007,473,137,3,57
WBGene00000195,5094,8162,2227,884,1889
WBGene00000196,1825,2180,2213,708,1930
WBGene00000197,10288,34154,18268,23531,27912
WBGene00000198,14200,18043,8729,6475,26297
WBGene00000199,10676,43200,4409,3372,9838
WBGene00000200,11695,46207,7125,4070,9791
WBGene00000201,10215,39504,5948,2581,7682
WBGene00000202,883,1673,1120,1180,920
WBGene00000203,5668,2384,1651,802,2410
WBGene00000204,9839,14078,3119,1836,6967
WBGene00000205,3230,1942,872,746,1555
WBGene00000206,2974,2568,4929,5722,5910
WBGene00000207,17920,85800,40331,12832,59945
WBGene00000208,2072,6271,3907,1363,2118
WBGene00000209,5742,5078,4065,5176,8804
WBGene00000210,7855,13487,7737,3161,19546
WBGene00000211,191,2797,918,225,899
WBGene00000212,50,3896,1954,462,1598
WBGene00000213,0,1498,37,2100,1486
WBGene00000214,3046,656690,4763,110429,365794
WBGene00000215,2315,77999,810,25888,104692
WBGene00000216,2942,137737,4498,32742,142115
WBGene00000217,37681,46868,32008,11394,21233
WBGene00000218,811,294351,2732,35514,120807
WBGene00000219,370,1036265,3136,45561,150710
WBGene00000220,42884,1249,176,46,4980
WBGene00000221,13740,29295,8522,2152,17948
WBGene00000222,9547,27305,5425,630,4698
WBGene00000223,23041,155649,16511,7969,28942
WBGene00000224,35949,50354,6768,1284,8023
WBGene00000225,8090,20074,3610,958,6737
WBGene00000226,6307,6996,8733,4180,7454
WBGene00000227,4389,8261,2200,3460,3124
WBGene00000228,9609,42672,7578,7764,33295
WBGene00000229,71508,503637,158815,167117,409341
WBGene00000230,20696,136333,38849,15043,47146
WBGene00000231,27330,87890,17693,23623,34686
WBGene00000232,1009,5970,2844,110,1477
WBGene00000233,149,21021,8493,374,1638
WBGene00000235,11083,4165,3199,3152,7111
WBGene00000236,2761,1196,1392,1193,2266
WBGene00000237,12547,36379,4143,1107,5728
WBGene00000238,3984,9334,3796,459,3868
WBGene00000239,488,4590,817,601,3421
WBGene00000240,3986,54629,6306,2228,10703
WBGene00000241,1387,2589,500,8,162
WBGene00000242,2672,731,626,7,191
WBGene00000244,908,3385,744,15,322
WBGene00000245,506,11469,1154,778,4356
WBGene00000246,31,1452,2374,122,2128
WBGene00000247,4589,4460,6699,1069,2263
WBGene00000248,18665,10913,820,1134,4555
WBGene00000249,8327,5881,1666,1199,1848
WBGene00000250,359,478,1310,1170,633
WBGene00000251,285,579,57,328,27261
WBGene00000252,43,58,32,137,13064
WBGene00000253,6702,9630,3409,1368,6573
WBGene00000254,19120,27937,21375,10975,21838
WBGene00000255,12,22,49,30,298
WBGene00000256,0,21,25,1124,13532
WBGene00000257,6911,3359,2856,4739,3253
WBGene00000259,2113,7994,4485,1422,2838
WBGene00000262,4270,2230,601,296,581
WBGene00000263,13479,32951,11577,8164,27882
WBGene00000264,1380,831,1408,1252,922
WBGene00000265,2455,941,1302,1366,1276
WBGene00000266,14089,3713,2831,472,7223
WBGene00000267,1190,1417,1075,57,411
WBGene00000268,3973,37553,9056,2912,8098
WBGene00000269,1010,2555,1072,735,1427
WBGene00000270,1157,923,1068,347,680
WBGene00000271,5662,8397,4901,2344,2541
WBGene00000272,4621,124,394,1,343
WBGene00000273,5096,468855,348158,21948,40631
