,elongating embryo Ce,L1 larva Ce,L2 larva Ce,dauer larva Ce,L3 larva Ce,adult Ce
WBGene00000001,4208,12140,1181,5547,1188,2246
WBGene00000002,12554,7828,1147,831,1444,280
WBGene00000003,7180,11253,747,570,1719,212
WBGene00000004,33305,26947,4274,3212,1117,576
WBGene00000005,595,132,525,37,885,281
WBGene00000006,425,12243,1261,3146,1185,228
WBGene00000007,36,314,331,129,1388,197
WBGene00000008,0,19,25,663,157,19
WBGene00000009,71,416,22,193,42,20
WBGene00000010,2316,9228,1163,2911,1397,2102
WBGene00000012,10,55,7,24,6,12
WBGene00000013,3,894,120,2312,21,7
WBGene00000014,0,23,1,15,0,0
WBGene00000015,1,13,4,43,4,0
WBGene00000016,4,5461,372,1059,482,70
WBGene00000017,32,20223,421,1667,744,136
WBGene00000018,20758,11995,2425,5366,2508,1563
WBGene00000019,19,41,28,26,384,138
WBGene00000020,983,41841,1994,4596,2387,937
WBGene00000022,574,18159,1295,1215,4475,1806
WBGene00000023,195,208,33,9,491,197
WBGene00000024,1,50,184,8,260,48
WBGene00000025,10,92,6,250,4,4
WBGene00000026,0,45,2,1,0,3
WBGene00000027,7,13,6,3,13,3
WBGene00000028,0,5,0,3,2,0
WBGene00000029,2,2,109,4,329,34
WBGene00000030,0,30,65,176,237,28
WBGene00000031,34,4270,1023,396,1197,111
WBGene00000032,0,0,1,18,3,0
WBGene00000033,4,726,532,49,833,125
WBGene00000034,28,1016,701,295,1009,135
WBGene00000035,2134,4609,608,1679,574,194
WBGene00000036,2705,18078,1020,1948,638,292
WBGene00000037,5475,19362,863,1338,308,62
WBGene00000038,642,6940,334,422,98,13
WBGene00000039,79070,1298,33690,1656,18383,204
WBGene00000040,19327,111381,22936,4210,40065,12370
WBGene00000041,19166,135273,34089,68426,31276,24566
WBGene00000042,86,1480,144,554,125,16
WBGene00000043,16,870,111,207,77,12
WBGene00000044,17,1827,180,879,67,18
WBGene00000045,22,205,30,139,30,3
WBGene00000046,745,484,62,138,115,9
WBGene00000047,1772,2815,494,401,405,24
WBGene00000048,189,541,96,112,41,7
WBGene00000049,27,576,37,64,35,8
WBGene00000050,169,496,75,150,78,25
WBGene00000051,432,1780,213,571,194,45
WBGene00000053,266,738,52,325,49,3
WBGene00000054,423,1524,187,856,318,57
WBGene00000055,261,2388,321,656,488,113
WBGene00000056,25,868,62,369,73,52
WBGene00000057,14,1426,119,843,91,74
WBGene00000058,315,4348,201,690,124,18
WBGene00000059,67,1909,179,571,104,23
WBGene00000060,46,738,120,1443,80,11
WBGene00000061,134,1796,50,129,81,6
WBGene00000062,41,1128,230,550,87,2
WBGene00000063,14281,31862,16905,11707,33394,10947
WBGene00000064,44141,49098,12631,17919,37408,76978
WBGene00000065,25702,50193,49336,14069,46799,9741
WBGene00000066,294102,1300918,99929,78461,232329,136492
WBGene00000067,19010,74460,54151,5831,118885,26393
WBGene00000068,6575,25587,2439,7822,1891,349
WBGene00000069,419,6765,234,1436,186,27
WBGene00000070,6506,9378,2139,2848,3105,493
WBGene00000071,876,3565,356,1925,596,239
WBGene00000072,914,6051,866,796,1152,340
WBGene00000073,2731,5657,645,21660,1198,666
WBGene00000074,3733,29894,1191,3078,1631,1233
WBGene00000075,1126,1913,515,753,865,813
WBGene00000079,14615,9644,4195,9442,4505,3974
WBGene00000080,7321,5524,1066,4697,2026,2461
WBGene00000081,8546,26513,4684,5967,11695,4040
WBGene00000082,1381,2058,1093,205,424,86
WBGene00000083,1375,22103,5203,4037,7716,3356
WBGene00000084,280,1285,288,397,1007,208
WBGene00000085,92,1059,179,565,84,33
WBGene00000086,9502,26086,1281,6197,1221,359
WBGene00000088,108,8530,532,644,1402,432
WBGene00000089,279,6875,586,1325,632,144
WBGene00000090,3987,19715,1547,4715,1720,4633
WBGene00000092,6738,52592,1351,5579,999,1116
WBGene00000093,1152,1155,435,1364,562,537
WBGene00000094,2482,1739,295,1057,431,659
WBGene00000095,9077,10438,1269,2959,1147,577
