GeneName, elongating_embryo_collapse, L1_larva _collapse, L2 larva  collapse, dauer_larva _collapse,L3_larva _collapse,adult _collapse
aap-1,4208,12140,1181,5547,1188,2246
aat-1,12554,7828,1147,831,1444,280
aat-2,7180,11253,747,570,1719,212
aat-3,33305,26947,4274,3212,1117,576
aat-4,595,132,525,37,885,281
aat-5,425,12243,1261,3146,1185,228
aat-6,36,314,331,129,1388,197
aat-7,0,19,25,663,157,19
aat-8,71,416,22,193,42,20
aat-9,2316,9228,1163,2911,1397,2102
abf-1,10,55,7,24,6,12
abf-2,3,894,120,2312,21,7
abf-3,0,23,1,15,0,0
abf-4,1,13,4,43,4,0
abf-5,4,5461,372,1059,482,70
abf-6,32,20223,421,1667,744,136
NA,20758,11995,2425,5366,2508,1563
abt-1,19,41,28,26,384,138
abt-2,983,41841,1994,4596,2387,937
abt-4,574,18159,1295,1215,4475,1806
abt-5,195,208,33,9,491,197
abu-1,1,50,184,8,260,48
abu-2,10,92,6,250,4,4
NA,0,45,2,1,0,3
abu-4,7,13,6,3,13,3
abu-5,0,5,0,3,2,0
abu-6,2,2,109,4,329,34
abu-7,0,30,65,176,237,28
abu-8,34,4270,1023,396,1197,111
pqn-57,0,0,1,18,3,0
abu-10,4,726,532,49,833,125
abu-11,28,1016,701,295,1009,135
ace-1,2134,4609,608,1679,574,194
ace-2,2705,18078,1020,1948,638,292
ace-3,5475,19362,863,1338,308,62
ace-4,642,6940,334,422,98,13
acn-1,79070,1298,33690,1656,18383,204
aco-1,19327,111381,22936,4210,40065,12370
aco-2,19166,135273,34089,68426,31276,24566
acr-2,86,1480,144,554,125,16
acr-3,16,870,111,207,77,12
acr-5,17,1827,180,879,67,18
acr-6,22,205,30,139,30,3
acr-7,745,484,62,138,115,9
acr-8,1772,2815,494,401,405,24
acr-9,189,541,96,112,41,7
acr-10,27,576,37,64,35,8
acr-11,169,496,75,150,78,25
acr-12,432,1780,213,571,194,45
acr-14,266,738,52,325,49,3
acr-15,423,1524,187,856,318,57
NA,261,2388,321,656,488,113
acr-17,25,868,62,369,73,52
acr-18,14,1426,119,843,91,74
acr-19,315,4348,201,690,124,18
acr-20,67,1909,179,571,104,23
NA,46,738,120,1443,80,11
lgc-11,134,1796,50,129,81,6
acr-23,41,1128,230,550,87,2
NA,14281,31862,16905,11707,33394,10947
NA,44141,49098,12631,17919,37408,76978
act-1,25702,50193,49336,14069,46799,9741
act-4,294102,1300918,99929,78461,232329,136492
act-5,19010,74460,54151,5831,118885,26393
acy-1,6575,25587,2439,7822,1891,349
acy-2,419,6765,234,1436,186,27
acy-3,6506,9378,2139,2848,3105,493
acy-4,876,3565,356,1925,596,239
add-1,914,6051,866,796,1152,340
add-2,2731,5657,645,21660,1198,666
adm-2,3733,29894,1191,3078,1631,1233
adm-4,1126,1913,515,753,865,813
adr-1,14615,9644,4195,9442,4505,3974
adr-2,7321,5524,1066,4697,2026,2461
ads-1,8546,26513,4684,5967,11695,4040
adt-1,1381,2058,1093,205,424,86
adt-2,1375,22103,5203,4037,7716,3356
aex-1,280,1285,288,397,1007,208
aex-2,92,1059,179,565,84,33
aex-3,9502,26086,1281,6197,1221,359
aex-5,108,8530,532,644,1402,432
aex-6,279,6875,586,1325,632,144
age-1,3987,19715,1547,4715,1720,4633
ags-3,6738,52592,1351,5579,999,1116
agt-1,1152,1155,435,1364,562,537
agt-2,2482,1739,295,1057,431,659
aha-1,9077,10438,1269,2959,1147,577
ahr-1,2270,3633,330,839,83,25
aip-1,2946,8122,1037,2674,902,835
air-1,6569,1490,1692,3081,3123,6880
air-2,3473,1782,591,1282,647,1971
ajm-1,90781,97337,11608,12406,9446,4296
aka-1,14598,18149,5672,14007,6349,9757
akt-1,8726,65516,4076,37478,3712,6013
akt-2,2075,38626,1755,8090,1354,519
alg-1,128533,240369,16814,15864,16406,4862
alg-2,26978,38063,5599,2497,3482,7433
alh-1,9844,27727,8051,15883,20537,9673
alh-2,0,29,2,9788,2,1
alh-3,26134,12137,6232,8628,13127,3038
alh-4,8674,51406,5752,11418,10069,6342
alh-5,1156,8003,786,723,930,201
alh-6,3401,10318,2493,6395,7562,2888
alh-7,1382,6293,1645,2689,1591,1330
alh-8,23632,699225,34646,232767,61311,50171
alh-9,11015,11713,5159,11815,20789,7878
alh-10,4735,2834,637,653,1437,724
alh-11,2461,7991,1338,2283,2949,1285
alh-12,1200,26030,3616,6471,8043,2135
aly-1,11773,3557,769,1773,907,707
aly-2,4049,3046,1455,3834,2571,5589
aly-3,15545,25835,2194,7675,4102,4571
ama-1,22850,64095,8723,20500,11512,22226
amt-1,3,548,6,1707,72,40
amt-2,40,976,61,601,45,6
amt-3,28,7040,235,2838,164,25
amt-4,347,3134,2576,823,6190,786
amx-1,6203,2781,720,1431,707,722
amx-2,1174,13673,2072,2210,2155,716
amx-3,1424,921,113,915,614,70
NA,19971,176763,15789,17609,8284,4260
aos-1,5170,2224,987,3367,2708,1765
apc-2,2904,2590,540,3461,1541,2057
apc-10,240,132,80,1553,396,579
apc-11,3306,1598,315,1245,420,987
ape-1,19779,29100,5192,10198,3868,7541
aph-1,4307,5315,327,1213,707,1239
aph-2,8121,1803,1353,3390,1761,1421
apl-1,107671,459037,36791,59076,32861,14373
apm-1,12811,68706,4403,6774,4610,659
apn-1,2056,1503,257,2041,921,1063
app-1,2038,6829,4323,5562,10458,9457
43922,24210,10721,2882,4939,3833,7177
aps-2,9401,5516,1032,871,1680,749
