Gene ID, elongating embryo, L1 larva, L2 larva, dauer larva, L3 larva, adult
aap-1,28,33,15,31,12,34
aat-1,83,18,15,4,13,3
aat-2,52,24,12,3,18,2
aat-3,235,80,23,15,11,8
aat-4,4,7,2,2,5,3
aat-5,3,25,14,14,11,2
aat-6,6,15,4,0.2,0.5,4
aat-7,,0.1,1,,3,
aat-8,0.4,1,0.2,0.1,0.4,4
aat-9,13,15,10,15,12,30
abf-1,0.3,0.9,3,1,0.1,0.5
abf-2,2,1,2,0.1,66,0.1
abf-4,,0.3,0.5,,7,
abf-5,0.1,20,13,0.6,4,0.2
abf-6,0.3,16,20,0.1,2,24
abl-1,62,12,15,12,10,8
abt-1,,0.1,0.1,13,0.4,0.1
abt-2,2,33,7,6,6,3
abt-3,,13,,,,
abt-4,1,9,6,2,14,7
abt-5,1,2,3,0.6,0.5,0.3
abu-1,,1,1,,36,
abu-2,,0.2,0.1,,,
abu-3,,2,,,,
abu-4,,11,0.2,,,
abu-6,,5,,,,
abu-7,,0.1,0.6,,3,
abu-8,0.3,28,15,57,2,0.1
abu-10,3,3,11,14,2,0.1
abu-11,0.3,20,15,41,3,0.2
ace-1,0.1,7,7,7,2,4
ace-2,13,31,12,10,5,3
ace-3,22,32,9,7,2,0.9
ace-4,4,2,0.9,0.2,0.1,3
acn-1,182,35,92,6,2,328
aco-1,85,151,171,14,209,81
aco-2,85,205,295,261,192,188
acr-2,5,4,1,0.1,0.1,0.3
acr-3,0.1,0.9,0.9,5,0.2,0.2
acr-5,3,9,0.6,3,0.2,3
acr-6,0.5,0.1,0.1,0.1,0.1,0.1
acr-7,3,1,0.7,0.7,6,7
acr-8,31,5,4,0.3,0.2,8
acr-9,0.1,2,0.9,0.1,0.3,0.5
acr-10,0.2,0.2,0.1,0.3,0.1,0.2
acr-11,7,1,1,0.1,0.3,1
acr-12,0.3,4,4,2,0.8,3
acr-14,3,0.9,2,0.2,0.6,2
acr-15,6,3,7,3,1,5
acr-16,2,6,5,3,5,0.9
acr-17,0.5,0.7,2,0.1,0.6,1
acr-18,0.9,2,6,0.1,1,4
acr-19,5,4,1,0.1,0.2,2
acr-20,0.3,5,2,4,0.9,0.3
acr-21,0.4,1,1,0.3,7,2
lgc-11,1,0.1,1,0.3,0.1,2
acr-23,4,0.8,0.6,0.4,0.2,0.1
act-1,149,41,316,94,409,129
act-2,400,91,206,154,379,1007
act-3,207,79,452,117,789,125
act-4,2030,1097,1368,377,1928,926
act-5,120,108,952,43,1335,362
acy-1,16,26,17,19,8,1
acy-2,0.1,2,3,1,0.3,5
acy-3,0.5,16,6,19,4,7
acy-4,4,4,3,5,3,2
add-1,4,11,10,4,8,2
add-2,16,12,10,95,10,6
adm-2,13,40,12,10,9,11
adm-4,6,3,7,4,7,8
adr-1,56,10,30,27,22,31
adr-2,60,20,17,30,22,41
ads-1,49,57,74,34,106,47
adt-1,1,8,3,3,3,0.4
adt-2,5,18,30,11,32,13
aex-1,0.2,6,1,6,1,0.1
aex-2,0.1,4,5,0.5,0.9,4
aex-3,23,27,7,13,5,2
aex-5,0.1,8,4,0.3,5,3
aex-6,3,25,17,14,12,4
age-1,12,25,11,12,8,27
ags-3,31,125,14,22,7,10
agt-1,25,16,20,18,12,18
agt-2,27,9,5,10,7,13
aha-1,67,36,18,18,12,9
ahr-1,14,10,4,5,0.8,0.3
aip-1,32,38,24,25,15,25
air-1,59,2,34,19,37,121
air-2,41,8,12,11,10,47
ajm-1,188,65,46,24,28,17
aka-1,45,22,26,33,26,56
akt-1,42,136,43,168,27,63
akt-2,11,79,16,34,10,6
alg-1,308,230,73,33,54,21
alg-2,101,44,23,8,18,57
alh-1,63,64,135,87,200,98
alh-3,113,24,68,27,85,26
alh-4,44,88,67,53,79,73
alh-5,12,28,13,5,11,3
alh-6,20,24,32,34,66,31
alh-7,8,12,19,16,15,19
alh-8,155,2467,480,1048,471,483
alh-9,62,15,81,58,180,73
alh-10,37,7,13,4,15,8
alh-11,15,19,16,10,24,15
alh-12,8,65,62,36,88,25
aly-1,175,20,33,19,21,39
aly-2,65,14,42,50,56,245
aly-3,137,87,56,53,50,82
ama-1,54,46,38,31,31,98
amt-1,2,0.8,0.3,11,0.4,0.9
amt-2,0.3,3,0.5,2,0.1,0.2
amt-3,0.3,1,0.8,2,10,0.1
amt-4,0.3,39,2,2,14,4
amx-1,31,4,7,5,5,7
amx-2,8,20,16,11,17,6
amx-3,6,8,2,3,4,2
anc-1,10,12,12,8,6,3
aos-1,50,6,20,26,39,38
apc-2,16,7,8,15,12,24
apc-10,4,10,9,7,24,3
apc-11,69,12,17,19,13,45
ape-1,87,46,54,31,25,74
aph-1,52,25,10,11,11,25
aph-2,46,3,15,14,13,13
apl-1,482,1087,243,214,195,117
apm-1,96,240,55,36,56,8
apn-1,9,6,13,23,6,16
app-1,13,8,60,26,85,104
1-Apr,81,18,19,13,16,45
aps-2,183,34,43,16,46,40
apg-1,78,43,49,28,40,36
aps-1,128,35,48,29,50,45
apb-1,104,112,58,24,42,36
apa-2,94,44,48,22,33,25
apd-3,24,12,14,8,10,20
apb-3,60,27,28,26,20,37
apm-3,77,25,19,11,15,10
aps-3,48,2,17,12,16,31
apt-9,6,6,2,0.1,0.2,0.7
apx-1,5,0.8,3,2,3,49
aqp-1,2,22,43,3,46,22
aqp-2,2658,1685,238,357,91,31
aqp-3,,1,8,,,
aqp-4,21,10,39,4,50,7
aqp-5,0.3,0.4,0.3,0.2,0.5,4
aqp-6,2,0.5,0.8,3,13,1
aqp-7,40,170,148,7,218,66
aqp-8,0.6,13,38,1,96,44
aqp-9,0.9,7,11,0.6,4,7
aqp-10,168,36,69,16,102,22
aqp-11,83,6,41,18,66,25
arc-1,25,12,14,11,12,5
ard-1,69,27,135,69,139,95
arf-1.2,601,259,337,141,349,183
arf-3,829,310,438,246,496,328
arf-6,60,23,14,17,28,24
arg-1,,0.2,0.1,0.1,0.3,0.5
ark-1,30,19,17,12,11,18
arl-1,72,13,38,25,40,27
arl-3,0.3,10,10,14,2,8
arl-5,45,9,9,8,10,12
arf-1.1,0.1,1,3,0.7,1,0.3
arl-7,0.2,1,1,4,0.8,0.2
arl-8,116,80,73,51,66,96
arl-6,8,0.7,0.2,15,3,9
arr-1,43,23,17,18,10,15
aars-1,9,5,7,8,9,6
aars-2,36,39,73,52,78,146
art-1,156,62,207,74,219,137
arx-1,58,77,49,19,33,35
arx-2,85,164,68,41,59,58
arx-3,83,103,59,46,50,48
exos-4.2,13,4,8,17,11,45
arx-5,97,9,45,24,30,49
arx-6,148,68,60,40,69,68
arx-7,59,11,27,13,23,44
asb-1,33,9,28,45,69,140
asb-2,160,243,559,315,483,187
trip-4,20,23,18,23,16,31
asg-1,151,10,186,77,201,265
asg-2,168,53,438,141,452,167
asm-1,13,5,4,1,3,3
asm-2,3,8,9,0.2,4,10
asm-3,0.2,4,19,11,0.2,0.1
asp-1,5,1685,2183,41,2609,2246
asp-2,6,147,366,5,593,259
asp-3,9,407,803,31,1042,726
asp-4,336,155,144,205,183,194
asp-5,2,2029,943,24,934,1178
asp-6,1,4547,961,31,1323,1588
atf-2,198,10,17,7,2,330
atf-5,129,126,149,72,119,41
atf-6,44,64,15,22,11,7
atf-7,123,314,65,61,65,77
atgp-1,202,128,60,35,38,15
atgp-2,27,42,26,16,23,7
atl-1,12,5,8,11,11,11
atm-1,7,5,4,3,4,12
atn-1,35,49,99,22,123,39
atp-2,455,1152,1739,848,2038,1388
atp-3,226,403,496,347,458,325
atx-2,82,81,54,38,72,146
avr-14,5,13,10,11,5,0.8
avr-15,0.1,39,8,36,7,3
baf-1,265,26,172,58,145,194
bag-1,49,4,28,21,41,60
bam-2,41,48,20,13,17,6
bar-1,17,18,18,13,13,3
bas-1,4,11,16,4,25,7
pah-1,29,150,70,43,77,39
bbs-1,0.3,0.5,0.3,10,3,0.2
bbs-2,4,0.3,0.1,0.2,12,11
bbs-8,0.1,4,4,4,0.5,4
bca-1,4,24,35,8,21,12
bcc-1,1,17,14,0.1,1,0.4
bec-1,41,16,19,48,17,25
ben-1,114,24,31,5,13,13
bir-1,163,40,35,30,24,66
bir-2,3,3,7,4,2,14
bli-1,0.1,0.3,0.3,0.9,45,0.3
bli-2,0.5,180,212,0.3,0.4,0.4
bli-3,17,10,16,8,14,5
bli-4,33,19,30,32,32,37
bli-5,2,7,0.7,0.3,0.5,0.3
bli-6,0.3,1156,27,65,0.6,0.1
