GeneID,LS,LS_EXP,SecondMax,RestMean,FoldDiff
WBGene00000001,L1 larva Ce,12140.0,5547.0,3592.5,2.1885703984135567
WBGene00000005,L2L3_larva,1410.0,595.0,261.25,2.369747899159664
WBGene00000006,L1 larva Ce,12243.0,3146.0,1561.25,3.8916083916083917
WBGene00000007,L2L3_larva,1719.0,314.0,169.0,5.474522292993631
WBGene00000008,dauer larva Ce,663.0,182.0,55.0,3.642857142857143
WBGene00000009,L1 larva Ce,416.0,193.0,87.0,2.155440414507772
WBGene00000010,L1 larva Ce,9228.0,2911.0,2472.25,3.170044658193061
WBGene00000012,L1 larva Ce,55.0,24.0,14.75,2.2916666666666665
WBGene00000013,dauer larva Ce,2312.0,894.0,261.25,2.586129753914989
WBGene00000015,dauer larva Ce,43.0,13.0,5.5,3.3076923076923075
WBGene00000016,L1 larva Ce,5461.0,1059.0,496.75,5.1567516525023605
WBGene00000017,L1 larva Ce,20223.0,1667.0,750.0,12.13137372525495
WBGene00000019,L2L3_larva,412.0,138.0,56.0,2.9855072463768115
WBGene00000020,L1 larva Ce,41841.0,4596.0,2724.25,9.10378590078329
WBGene00000022,L1 larva Ce,18159.0,5770.0,2341.25,3.1471403812824956
WBGene00000023,L2L3_larva,524.0,208.0,152.25,2.519230769230769
WBGene00000024,L2L3_larva,444.0,50.0,26.75,8.88
WBGene00000025,dauer larva Ce,250.0,92.0,29.0,2.717391304347826
WBGene00000026,L1 larva Ce,45.0,3.0,1.5,15.0
WBGene00000029,L2L3_larva,438.0,34.0,10.5,12.882352941176471
WBGene00000032,dauer larva Ce,18.0,4.0,1.0,4.5
WBGene00000035,L1 larva Ce,4609.0,2134.0,1297.25,2.1597938144329896
WBGene00000036,L1 larva Ce,18078.0,2705.0,1650.75,6.683179297597042
WBGene00000037,L1 larva Ce,19362.0,5475.0,2011.5,3.5364383561643837
WBGene00000038,L1 larva Ce,6940.0,642.0,377.25,10.809968847352025
WBGene00000042,L1 larva Ce,1480.0,554.0,231.25,2.6714801444043323
WBGene00000043,L1 larva Ce,870.0,207.0,105.75,4.202898550724638
WBGene00000044,L1 larva Ce,1827.0,879.0,290.25,2.0784982935153584
WBGene00000048,L1 larva Ce,541.0,189.0,111.25,2.8624338624338623
WBGene00000049,L1 larva Ce,576.0,72.0,42.75,8.0
WBGene00000050,L1 larva Ce,496.0,169.0,124.25,2.93491124260355
WBGene00000051,L1 larva Ce,1780.0,571.0,363.75,3.117338003502627
WBGene00000053,L1 larva Ce,738.0,325.0,173.75,2.270769230769231
WBGene00000055,L1 larva Ce,2388.0,809.0,459.75,2.9517923362175527
WBGene00000056,L1 larva Ce,868.0,369.0,145.25,2.3523035230352303
WBGene00000058,L1 larva Ce,4348.0,690.0,337.0,6.301449275362319
WBGene00000059,L1 larva Ce,1909.0,571.0,236.0,3.3432574430823117
WBGene00000061,L1 larva Ce,1796.0,134.0,100.0,13.402985074626866
WBGene00000062,L1 larva Ce,1128.0,550.0,227.5,2.050909090909091
WBGene00000066,L1 larva Ce,1300918.0,332258.0,210328.25,3.9153850321135986
WBGene00000067,L2L3_larva,173036.0,74460.0,31423.5,2.3238785925329037
WBGene00000068,L1 larva Ce,25587.0,7822.0,4769.0,3.2711582715418053
WBGene00000069,L1 larva Ce,6765.0,1436.0,575.5,4.71100278551532
WBGene00000072,L1 larva Ce,6051.0,2018.0,1017.0,2.998513379583746
WBGene00000073,dauer larva Ce,21660.0,5657.0,2724.25,3.828884567792116
WBGene00000074,L1 larva Ce,29894.0,3733.0,2716.5,8.00803643182427
WBGene00000086,L1 larva Ce,26086.0,9502.0,4640.0,2.7453167754157017
WBGene00000088,L1 larva Ce,8530.0,1934.0,779.5,4.410548086866598
WBGene00000089,L1 larva Ce,6875.0,1325.0,741.5,5.188679245283019
WBGene00000090,L1 larva Ce,19715.0,4715.0,4150.5,4.181336161187699
WBGene00000092,L1 larva Ce,52592.0,6738.0,3945.75,7.805283466904126
WBGene00000097,L1 larva Ce,8122.0,2946.0,2098.5,2.7569585879158183
WBGene00000103,L1 larva Ce,38626.0,8090.0,3448.25,4.774536464771322
WBGene00000108,dauer larva Ce,9788.0,29.0,8.5,337.51724137931035
WBGene00000110,L1 larva Ce,51406.0,15821.0,10563.75,3.249225712660388
WBGene00000111,L1 larva Ce,8003.0,1716.0,949.0,4.663752913752914
WBGene00000114,L1 larva Ce,699225.0,232767.0,100631.75,3.0039696348709226
WBGene00000115,L2L3_larva,25948.0,11815.0,10605.25,2.196191282268303
WBGene00000118,L1 larva Ce,26030.0,11659.0,5366.25,2.2326100008577066
WBGene00000120,elongating embryo Ce,11773.0,3557.0,1928.25,3.3098116390216474
WBGene00000123,L1 larva Ce,64095.0,22850.0,21452.75,2.8050328227571115
WBGene00000133,dauer larva Ce,1707.0,548.0,167.25,3.1149635036496353
WBGene00000135,L1 larva Ce,7040.0,2838.0,822.5,2.4806201550387597
WBGene00000136,L2L3_larva,8766.0,3134.0,1272.5,2.7970644543714105
WBGene00000137,elongating embryo Ce,6203.0,2781.0,1590.25,2.230492628550881
WBGene00000138,L1 larva Ce,13673.0,4227.0,2081.75,3.2346818074284363
WBGene00000140,L1 larva Ce,176763.0,24073.0,16478.25,7.342790678353342
WBGene00000144,dauer larva Ce,1553.0,579.0,356.75,2.6822107081174438
WBGene00000145,elongating embryo Ce,3306.0,1598.0,1141.25,2.0688360450563206
WBGene00000148,elongating embryo Ce,8121.0,3390.0,2432.0,2.395575221238938
WBGene00000149,L1 larva Ce,459037.0,107671.0,62693.0,4.263329958856145
WBGene00000150,L1 larva Ce,68706.0,12811.0,7314.25,5.363047381156818
WBGene00000156,elongating embryo Ce,24210.0,10721.0,7388.0,2.2581848708142895
WBGene00000160,L1 larva Ce,78817.0,27516.0,14834.75,2.8644061636865823
WBGene00000165,elongating embryo Ce,5825.0,2322.0,1842.5,2.508613264427218
WBGene00000166,L1 larva Ce,6532.0,882.0,424.25,7.405895691609977
WBGene00000168,adult Ce,5064.0,983.0,749.25,5.1515768056968465
WBGene00000171,dauer larva Ce,960.0,39.0,17.5,24.615384615384617
WBGene00000173,L1 larva Ce,454.0,48.0,24.5,9.458333333333334
WBGene00000175,L1 larva Ce,60753.0,21670.0,8180.25,2.803553299492386
WBGene00000185,L1 larva Ce,465.0,33.0,13.75,14.090909090909092
WBGene00000188,L1 larva Ce,6105.0,2291.0,1245.5,2.6647752073330424
WBGene00000190,L1 larva Ce,1869.0,153.0,51.5,12.215686274509803
WBGene00000191,L1 larva Ce,304.0,147.0,59.5,2.068027210884354
WBGene00000192,L1 larva Ce,20820.0,9690.0,6384.25,2.1486068111455108
WBGene00000193,elongating embryo Ce,1007.0,473.0,167.5,2.1289640591966172
WBGene00000199,L1 larva Ce,43200.0,10676.0,7073.75,4.046459348070439
WBGene00000200,L1 larva Ce,46207.0,11695.0,8170.25,3.951004702864472
WBGene00000201,L1 larva Ce,39504.0,10215.0,6606.5,3.8672540381791483
WBGene00000203,elongating embryo Ce,5668.0,2410.0,1811.75,2.3518672199170125
WBGene00000211,L1 larva Ce,2797.0,918.0,558.25,3.0468409586056646
WBGene00000218,L1 larva Ce,294351.0,120807.0,39966.0,2.436539273386476
WBGene00000219,L1 larva Ce,1036265.0,150710.0,49944.25,6.8758874659942935
WBGene00000220,elongating embryo Ce,42884.0,4980.0,1612.75,8.611244979919679
WBGene00000222,L1 larva Ce,27305.0,9547.0,5075.0,2.8600607520687125
WBGene00000223,L1 larva Ce,155649.0,28942.0,19115.75,5.377962822196117
WBGene00000225,L1 larva Ce,20074.0,8090.0,4848.75,2.4813349814585908
WBGene00000230,L1 larva Ce,136333.0,47146.0,30433.5,2.891719339922793
WBGene00000231,L1 larva Ce,87890.0,34686.0,25833.0,2.5338753387533877
WBGene00000232,L1 larva Ce,5970.0,2844.0,1360.0,2.0991561181434597
WBGene00000233,L1 larva Ce,21021.0,8493.0,2663.5,2.475097138820205
WBGene00000237,L1 larva Ce,36379.0,12547.0,5881.25,2.899418187614569
WBGene00000238,L1 larva Ce,9334.0,3984.0,3026.75,2.342871485943775
WBGene00000240,L1 larva Ce,54629.0,10703.0,5805.75,5.10408296739232
WBGene00000242,elongating embryo Ce,2672.0,731.0,388.75,3.6552667578659372
WBGene00000244,L1 larva Ce,3385.0,908.0,497.25,3.7279735682819384
WBGene00000245,L1 larva Ce,11469.0,4356.0,1698.5,2.6329201101928374
WBGene00000251,L2L3_larva,27261.0,579.0,312.25,47.082901554404145
WBGene00000252,L2L3_larva,13064.0,137.0,67.5,95.35766423357664
WBGene00000255,L2L3_larva,298.0,49.0,28.25,6.081632653061225
WBGene00000256,L2L3_larva,13532.0,1124.0,292.5,12.03914590747331
WBGene00000268,L1 larva Ce,37553.0,9056.0,6009.75,4.146753533568905
WBGene00000272,elongating embryo Ce,4621.0,394.0,215.5,11.728426395939087
WBGene00000277,L1 larva Ce,460434.0,96231.0,34828.75,4.7846743772796705
WBGene00000282,L1 larva Ce,42231.0,14003.0,7525.5,3.0158537456259373
WBGene00000284,L1 larva Ce,19315.0,3972.0,1479.0,4.862789526686807
WBGene00000286,L1 larva Ce,13608.0,6721.0,2069.0,2.024698705549769
WBGene00000288,L1 larva Ce,9645.0,3775.0,1292.0,2.5549668874172187
WBGene00000293,L1 larva Ce,39056.0,16768.0,11403.75,2.329198473282443
WBGene00000294,L1 larva Ce,50473.0,14984.0,10632.75,3.368459690336359
WBGene00000295,L1 larva Ce,8342.0,729.0,427.0,11.443072702331962
WBGene00000298,L1 larva Ce,7489.0,3427.0,1847.25,2.185293259410563
WBGene00000301,elongating embryo Ce,122158.0,5023.0,2031.5,24.319729245470835
WBGene00000366,L1 larva Ce,150055.0,74158.0,37780.75,2.0234499312279186
WBGene00000367,L1 larva Ce,24196.0,5933.0,3458.5,4.078206640822518
WBGene00000368,L1 larva Ce,25011.0,5188.0,3436.0,4.820932922127987
WBGene00000370,L1 larva Ce,120945.0,33787.0,11593.0,3.579631219107941
