GeneID,LS,LS_EXP,SecondMax,RestMean,FoldDiff 
aat-1, elongating embryo,83.0,18.0,10.6,7.830188679245284
aat-2, elongating embryo,52.0,24.0,11.8,4.406779661016949
aat-3, elongating embryo,235.0,80.0,27.4,8.576642335766424
abf-2, L3 larva,66.0,2.0,1.0399999999999978,63.461538461538595
abl-1, elongating embryo,62.0,15.0,11.4,5.43859649122807
abu-8, dauer larva,57.0,28.0,9.079999999999998,6.277533039647579
acn-1, adult,328.0,182.0,63.4,5.173501577287066
aco-1, L3 larva,209.0,171.0,100.4,2.0816733067729083
act-1, L3 larva,409.0,316.0,145.8,2.8052126200274348
act-2, adult,1007.0,400.0,246.0,4.09349593495935
act-3, L3 larva,789.0,452.0,196.0,4.025510204081633
act-5, L2 larva,952.0,952.0,393.6,2.4186991869918697
act-5, L3 larva,1335.0,952.0,317.0,4.211356466876971
add-2, dauer larva,95.0,16.0,10.8,8.796296296296296
adr-1, elongating embryo,56.0,31.0,24.0,2.3333333333333335
adr-2, elongating embryo,60.0,41.0,26.0,2.3076923076923075
ads-1, L3 larva,106.0,74.0,52.2,2.0306513409961684
ags-3, L1 larva,125.0,31.0,16.8,7.44047619047619
aha-1, elongating embryo,67.0,36.0,18.6,3.6021505376344085
air-1, adult,121.0,59.0,30.2,4.006622516556291
air-2, adult,47.0,41.0,16.4,2.8658536585365857
ajm-1, elongating embryo,188.0,65.0,36.0,5.222222222222222
akt-1, dauer larva,168.0,136.0,62.2,2.70096463022508
akt-2, L1 larva,79.0,34.0,15.4,5.12987012987013
alg-1, elongating embryo,308.0,230.0,82.2,3.7469586374695862
alg-1, L1 larva,230.0,230.0,97.8,2.3517382413087935
alg-2, elongating embryo,101.0,57.0,30.0,3.3666666666666667
alh-1, L3 larva,200.0,135.0,89.4,2.237136465324385
alh-3, elongating embryo,113.0,85.0,46.0,2.4565217391304346
alh-6, L3 larva,66.0,34.0,28.2,2.3404255319148937
alh-8, L1 larva,2467.0,1048.0,527.4,4.677664012135002
alh-9, L3 larva,180.0,81.0,57.8,3.114186851211073
alh-12, L3 larva,88.0,65.0,39.2,2.2448979591836733
