GeneID,LS,LS_EXP,SecondMax,RestMean,FoldDiff 
WBGene00045459,dauer larva Ce,12412,1,0.25,49648
WBGene00019178,dauer larva Ce,159718,24,12.5,12777.44
WBGene00019179,dauer larva Ce,95732,23,7.75,12352.51613
WBGene00006419,dauer larva Ce,235883,56,23.75,9931.915789
WBGene00235324,dauer larva Ce,11140,4,1.25,8912
WBGene00013351,dauer larva Ce,10881,4,1.5,7254
WBGene00044518,dauer larva Ce,18451,5,3.25,5677.230769
WBGene00019016,dauer larva Ce,161851,88,32.5,4980.030769
WBGene00044113,dauer larva Ce,20258,11,4.25,4766.588235
WBGene00009892,dauer larva Ce,158298,95,33.25,4760.842105
WBGene00189932,dauer larva Ce,7914,7,3.5,2261.142857
WBGene00000593,dauer larva Ce,17801,19,8.5,2094.235294
WBGene00007535,dauer larva Ce,9249,14,5,1849.8
WBGene00000614,dauer larva Ce,15522,12,9,1724.666667
WBGene00000617,dauer larva Ce,12479,10,7.5,1663.866667
WBGene00000756,dauer larva Ce,12582,19,8,1572.75
WBGene00202498,dauer larva Ce,6950,15,4.75,1463.157895
WBGene00001108,elongating embryo Ce,25789,64,19.5,1322.512821
WBGene00019514,elongating embryo Ce,11780,30,9.75,1208.205128
WBGene00000695,elongating embryo Ce,44487,134,38.5,1155.506494
WBGene00000108,dauer larva Ce,9788,29,8.5,1151.529412
WBGene00000628,dauer larva Ce,12035,24,10.75,1119.534884
WBGene00006927,adult Ce,176080,425,179,983.6871508
WBGene00000609,adult Ce,71952,148,76.75,937.485342
WBGene00006930,adult Ce,2253663,5944,2422,930.4966969
WBGene00000713,adult Ce,115904,271,131.5,881.3992395
WBGene00006929,adult Ce,641246,2173,759.75,844.0223758
WBGene00000693,adult Ce,141316,350,177.25,797.2693935
WBGene00008396,dauer larva Ce,146237,736,187.75,778.8921438
WBGene00000716,adult Ce,41572,141,53.75,773.4325581
WBGene00004996,dauer larva Ce,86469,254,114.25,756.8402626
WBGene00000698,adult Ce,133617,365,177.75,751.7130802
WBGene00219310,elongating embryo Ce,6332,20,8.5,744.9411765
WBGene00000608,adult Ce,61932,172,84,737.2857143
WBGene00000680,adult Ce,49367,166,67.25,734.0817844
WBGene00000696,adult Ce,132803,324,182,729.6868132
WBGene00006928,adult Ce,124994,501,176.5,708.1813031
WBGene00045398,dauer larva Ce,11396,44,16.25,701.2923077
WBGene00015549,dauer larva Ce,39897,142,59,676.220339
WBGene00006926,adult Ce,1638466,4880,2439,671.7777778
WBGene00000606,L2L3_larva,69599,248,106,656.5943396
WBGene00000751,adult Ce,39234,122,61.25,640.555102
WBGene00001732,dauer larva Ce,24446,110,40,611.15
WBGene00016638,adult Ce,67349,210,110.25,610.8752834
WBGene00001075,elongating embryo Ce,285905,1613,484.25,590.4078472
