Run1,Run2,Run3
0.617311794,0.681593351,0.69792858
-0.444143019,-0.496007071,-0.514259683
0.139848672,0.143597351,0.147484536
0,0,0
-0.641458731,-0.707528874,-0.729259843
0,0,0
-0.451693051,-0.502316005,-0.515758455
0,0,0
0.747745706,0.831684787,0.85150247
0,0,0
-0.884637724,-0.97601782,-0.996278294
0,0,0
-0.395450801,-0.427717118,-0.444298065
-0.291248934,-0.321323812,-0.345326334
0.017636606,0.018997609,-0.000384624
0,0,0
-0.580489436,-0.640447788,-0.655977621
0,0,0
0.981001167,1.072338373,1.087930841
-0.750310814,-0.833237493,-0.854629654
0,0,0
0.962605777,1.063514533,1.085382327
0,0,0
0.521010483,0.580071349,0.58685324
-0.649090057,-0.713696446,-0.735034359
-0.247307608,-0.280499826,-0.298496255
-0.120176775,-0.128455241,-0.127690706
1.220663201,1.380440675,1.408906495
0,0,0
-0.641798783,-0.709924042,-0.72501214
0,0,0
-0.724777775,-0.802690639,-0.815839609
-0.428140581,-0.49110339,-0.501584164
-0.624441968,-0.706318528,-0.721589656
0,0,0
0.345255716,0.386707301,0.397492736
0,0,0
0.638840169,0.715643328,0.74805337
0.790913274,0.897325075,0.901827079
0.79835984,0.892545318,0.924294503
-0.251590683,-0.267078985,-0.275976548
0.484425488,0.536742845,0.562595965
0,0,0
0.318566208,0.350081686,0.35357936
-0.506003513,-0.563043159,-0.581441141
-0.40909461,-0.460876022,-0.480239766
0,0,0
0.401473802,0.441503311,0.449429934
-0.647083501,-0.718462227,-0.737000479
-0.092388453,-0.112915063,-0.124111633
0,0,0
0.47931114,0.531941017,0.533136692
-0.637961714,-0.708852902,-0.733561883
-0.247983716,-0.283380548,-0.297988217
0,0,0
-0.717446817,-0.791594973,-0.811947746
0,0,0
-0.751599064,-0.830156756,-0.8511585
0,0,0
