Fit1,Fit2,Fit3,Fit4
-0.487107664,-0.492617318,-0.500284973,-0.502415932
1.100003121,1.073172446,1.179053262,1.055014813
0.849355241,0.885236874,0.932173045,0.795332141
0,0,0,0
0.801484342,0.860320837,0.902199144,0.728733481
0,0,0,0
1.202160387,1.199951673,1.280749053,1.179360468
0,0,0,0
-1.288753188,-1.240854637,-1.353154614,-1.230060239
0,0,0,0
0.770789402,0.748684555,0.852055382,0.788634016
0,0,0,0
-0.667314725,-0.696451122,-0.691018744,-0.685053912
0.760092968,0.725816769,0.826102858,0.692191982
0.85116319,0.857602903,0.976928207,0.814652737
0,0,0,0
1.003301325,1.007480815,1.068181376,0.978317308
0,0,0,0
0.441448522,0.458115112,0.464766794,0.432604512
1.28287795,1.255049025,1.316572482,1.254541987
0,0,0,0
-1.344875798,-1.368335351,-1.44889355,-1.37336907
0,0,0,0
0.464814609,0.480809241,0.514441712,0.465004789
0.977366074,0.983522384,1.081008041,0.956605961
0.714632453,0.718781954,0.79266336,0.686446541
0.072372027,0.11180245,0.118612746,0.143016042
-0.275453001,-0.279943114,-0.305825716,-0.282586828
0,0,0,0
1.124681804,1.166158739,1.230180035,1.166389839
0,0,0,0
-0.374798074,-0.41404032,-0.418490174,-0.36514275
1.076755089,1.037505327,1.093265013,1.003347745
0.504544291,0.442472305,0.503369032,0.39144414
0,0,0,0
-0.997391343,-0.973734084,-1.043865099,-0.929289661
0,0,0,0
-0.986091251,-1.02173877,-0.969800811,-0.955216149
0.266852506,0.252534397,0.366330277,0.25449961
-0.885307783,-0.940766621,-0.875895026,-0.919060376
1.076522919,1.123341723,1.193738785,1.095810912
0.33994745,0.262104924,0.420020228,0.253258296
0,0,0,0
-0.482512687,-0.496007625,-0.489340514,-0.531012696
0.953633874,0.929079947,1.077991042,0.909289648
0.721554932,0.616380371,0.721870486,0.567524456
0,0,0,0
-0.40946654,-0.417491738,-0.404122822,-0.405855311
1.301430024,1.352143212,1.414918953,1.311861086
0.879506187,0.849785974,0.912724229,0.808067632
0,0,0,0
0.470855806,0.444409857,0.450508317,0.430857286
1.223779695,1.215455233,1.305351458,1.178017343
0.734516973,0.673187838,0.782352273,0.620586187
0,0,0,0
0.929151916,0.958484688,1.003376503,0.926274146
0,0,0,0
1.067583506,1.020003763,1.116084476,0.984329002
0,0,0,0
