Run1,Run2,Run3,Run4
-0.487107664,-0.53982149,-0.558073469,-0.558246998
1.100003121,1.14587032,1.166077272,1.166693271
0.849355241,0.845722717,0.841606605,0.846564434
0,0,0,0
0.801484342,0.855821521,0.878400677,0.878178183
0,0,0,0
1.202160387,1.245246171,1.259934681,1.260749548
0,0,0,0
-1.288753188,-1.359950744,-1.38210739,-1.382989149
0,0,0,0
0.770789402,0.846446241,0.870065176,0.871503345
0,0,0,0
-0.667314725,-0.640285482,-0.62342272,-0.619624309
0.760092968,0.787077261,0.811553433,0.818046399
0.85116319,0.85085974,0.867601736,0.867250804
0,0,0,0
1.003301325,1.053050492,1.070281569,1.070179367
0,0,0,0
0.441448522,0.364650996,0.343253573,0.341322035
1.28287795,1.352747944,1.376269438,1.378324455
0,0,0,0
-1.344875798,-1.429779125,-1.455581144,-1.458111146
0,0,0,0
0.464814609,0.416399465,0.407081319,0.39954967
0.977366074,1.033647742,1.057948571,1.048843977
0.714632453,0.746321154,0.764615176,0.752941935
0.072372027,0.081723909,0.082111213,0.074777842
-0.275453001,-0.399573994,-0.43307344,-0.442842202
0,0,0,0
1.124681804,1.182090971,1.199015388,1.201187453
0,0,0,0
-0.374798074,-0.309410925,-0.294137351,-0.290478732
1.076755089,1.130015412,1.141585496,1.146078308
0.504544291,0.574788703,0.592045506,0.597726925
0,0,0,0
-0.997391343,-1.03209473,-1.044586192,-1.047229052
0,0,0,0
-0.986091251,-1.053371002,-1.088634028,-1.085348597
0.266852506,0.17275317,0.160621365,0.161734129
-0.885307783,-0.968199258,-1.004148895,-0.989453963
1.076522919,1.084538533,1.093920166,1.097623483
0.33994745,0.289263069,0.260164912,0.250469775
0,0,0,0
-0.482512687,-0.508034602,-0.513242123,-0.520454728
0.953633874,1.002225484,1.021721254,1.021298713
0.721554932,0.766289645,0.786027454,0.780450286
0,0,0,0
-0.40946654,-0.442161387,-0.451714742,-0.454741172
1.301430024,1.363343969,1.382933609,1.387237343
0.879506187,0.898000828,0.90856258,0.903226303
0,0,0,0
0.470855806,0.427152306,0.422769936,0.41970903
1.223779695,1.282900663,1.309351452,1.311604331
0.734516973,0.764646639,0.779870967,0.779664722
0,0,0,0
0.929151916,0.990067408,1.012577008,1.013749839
0,0,0,0
1.067583506,1.133002239,1.156544833,1.155752854
0,0,0,0
