Gene ID, 4-cell embryo, proliferating embryo, late cleavage stage embryo, gastrulating embryo, enclosing embryo, 3-fold embryo, elongating embryo, fully-elongated embryo, L1 larva, L2 larva, L2d-dauer molt, dauer larva, post dauer stage, L3 larva, L4 larva, newly molted young adult, adult
aap-1,22,31,24,21,9,22,28,18,33,15,24,31,33,12,6,31,34
aat-1,0.2,4,34,3,2,76,83,30,18,15,9,4,6,13,5,3,3
aat-2,3,6,31,7,3,46,52,38,24,12,7,3,10,18,4,4,2
aat-3,6,31,268,42,38,201,235,114,80,23,24,15,20,11,3,4,8
aat-4,8,,0.4,0.4,9,8,4,2,7,2,0.1,2,1,5,0.8,4,3
aat-5,0.1,0.9,1,0.5,0.1,11,3,21,25,14,18,14,21,11,3,3,2
aat-6,2,,7,0.5,5,6,6,0.2,15,4,2,0.2,,0.5,0.1,0.5,4
aat-7,4,,,,,0.2,,,0.1,1,4,,,3,,,
aat-8,0.4,,1,0.2,0.2,2,0.4,2,1,0.2,1,0.1,0.5,0.4,0.1,2,4
aat-9,19,37,13,16,4,19,13,20,15,10,12,15,13,12,5,18,30
abf-1,0.7,,0.4,0.3,3,0.8,0.3,0.9,0.9,3,0.3,1,0.6,0.1,0.1,200,0.5
abf-2,34,,,,42,6,2,9,1,2,7,0.1,,66,0.4,,0.1
abf-3,,,,,,,,,,,,,,,,,
abf-4,0.1,,,,,1,,,0.3,0.5,0.6,,,7,,,
abf-5,12,,0.4,12,4,27,0.1,33,20,13,1,0.6,,4,19,,0.2
abf-6,123,0.4,27,4,3,0.3,0.3,0.1,16,20,17,0.1,21,2,4,0.1,24
abl-1,7,23,55,9,3,49,62,43,12,15,16,12,14,10,3,4,8
abt-1,0.4,,,,,0.9,,,0.1,0.1,0.1,13,,0.4,2,,0.1
abt-2,0.9,2,2,0.8,0.3,2,2,6,33,7,7,6,6,6,1,2,3
abt-3,0.2,,,,,0.1,,,13,,,,,,,,
abt-4,1,0.3,1,0.2,0.1,1,1,2,9,6,5,2,6,14,3,5,7
abt-5,0.1,,0.5,0.7,1,0.2,1,0.1,2,3,0.5,0.6,1,0.5,0.3,17,0.3
abu-1,0.5,,,,,6,,,1,1,0.8,,,36,0.2,,
abu-2,1,,,,,0.3,,,0.2,0.1,14,,,,,,
abu-3,0.7,,,,,0.5,,,2,,,,,,,,
abu-4,0.5,,,,,0.2,,,11,0.2,,,,,,,
abu-5,,,,,,,,,,,,,,,,,
abu-6,1,,,,,0.1,,,5,,,,,,,,
abu-7,1,,,,,0.4,,,0.1,0.6,0.9,,,3,0.1,,
abu-8,20,28,7,0.3,3,4,0.3,0.7,28,15,11,57,24,2,0.7,12,0.1
abu-9,,,,,,,,,,,,,,,,,
abu-10,12,,8,0.3,0.1,3,3,0.2,3,11,9,14,,2,0.2,16,0.1
abu-11,18,39,3,0.8,4,1,0.3,0.6,20,15,23,41,7,3,1,0.1,0.2
ace-1,8,0.9,2,2,19,0.3,0.1,0.4,7,7,4,7,1,2,2,7,4
ace-2,0.1,3,6,2,2,19,13,19,31,12,18,10,14,5,3,4,3
ace-3,0.1,4,9,0.6,1,65,22,55,32,9,9,7,7,2,0.9,0.7,0.9
ace-4,2,3,2,0.2,0.3,14,4,2,2,0.9,0.3,0.2,13,0.1,2,0.8,3
acn-1,223,22,5,3,8,1,182,112,35,92,32,6,9,2,5,50,328
aco-1,17,118,125,120,119,58,85,54,151,171,14,14,18,209,55,99,81
aco-2,125,95,48,41,11,141,85,185,205,295,243,261,282,192,96,178,188
acr-2,2,2,4,0.4,0.1,3,5,0.6,4,1,0.9,0.1,1,0.1,3,0.1,0.3
acr-3,1,0.3,0.4,0.2,0.5,2,0.1,2,0.9,0.9,1,5,15,0.2,1,1,0.2
acr-5,2,1,0.6,3,0.5,7,3,0.4,9,0.6,1,3,15,0.2,4,0.6,3
acr-6,0.3,,0.1,3,0.1,0.5,0.5,0.6,0.1,0.1,0.9,0.1,,0.1,1,,0.1
acr-7,0.6,2,6,0.4,0.4,1,3,0.9,1,0.7,0.6,0.7,12,6,2,0.3,7
acr-8,9,0.8,4,1,0.3,5,31,2,5,4,2,0.3,3,0.2,2,0.6,8
acr-9,1,0.9,0.3,0.4,7,0.2,0.1,0.2,2,0.9,0.4,0.1,0.8,0.3,0.1,0.4,0.5
acr-10,0.3,,2,3,0.1,0.2,0.2,0.3,0.2,0.1,0.3,0.3,0.3,0.1,3,2,0.2
acr-11,1,0.2,2,1,0.4,2,7,0.8,1,1,0.9,0.1,3,0.3,1,0.6,1
acr-12,4,2,0.7,1,9,0.2,0.3,0.4,4,4,2,2,0.9,0.8,0.4,5,3
acr-14,2,0.5,2,0.2,0.2,0.1,3,1,0.9,2,0.6,0.2,1,0.6,2,0.2,2
acr-15,5,0.6,6,2,0.1,0.8,6,2,3,7,4,3,1,1,0.6,0.1,5
acr-16,1,3,1,4,0.9,4,2,8,6,5,6,3,5,5,2,3,0.9
acr-17,2,0.3,0.6,0.6,1,0.4,0.5,1,0.7,2,0.6,0.1,1,0.6,0.6,2,1
acr-18,4,1,3,2,0.2,0.5,0.9,0.2,2,6,0.9,0.1,0.4,1,0.6,0.3,4
acr-19,3,2,4,0.4,0.4,12,5,0.9,4,1,0.5,0.1,1,0.2,4,0.4,2
