GeneTag,PHI,log10.PHI,Std.Error,log10.Std.Error,0.025,0.975,log10.0.025,log10.0.975,,
homt-1,0.99072969,-0.011124688,3.04E-05,1.81E-05,0.711808015,1.269005132,-0.147637224,0.103463378,,
nlp-40,1.554458141,0.187153026,4.47E-05,1.24E-05,1.160744559,2.046603362,0.06473665,0.311033682,,
nlp-40,1.711853266,0.223948628,7.05E-05,1.87E-05,1.098220808,2.463277032,0.040689663,0.391513169,,
rcor-1,0.929232538,-0.034891799,1.99E-05,1.09E-05,0.743124712,1.107033336,-0.128938315,0.044160699,,
rcor-1,0.922370315,-0.037782509,1.89E-05,1.03E-05,0.740001682,1.096486403,-0.13076733,0.04000324,,
rcor-1,0.924198031,-0.037170351,1.97E-05,1.08E-05,0.741687843,1.109879679,-0.12977884,0.0452759,,
rcor-1,1.014137626,0.002757962,2.49E-05,1.09E-05,0.768614912,1.259002587,-0.114291194,0.100026622,,
Y74C9A.9,0.997382045,-0.054109618,0.000101253,4.56E-05,0.325128814,2.250405705,-0.487944586,0.352260811,,
sesn-1,0.701308131,-0.159672126,2.10E-05,1.46E-05,0.474769363,0.892405221,-0.323517367,-0.049437915,,
Y74C9A.1,0.904114664,-0.048967507,2.72E-05,1.37E-05,0.636018151,1.165064143,-0.196530623,0.066349836,,
Y48G1C.12,0.95485127,-0.026907461,3.10E-05,1.65E-05,0.644986864,1.244372353,-0.190449328,0.094950286,,
pgs-1,0.581356227,-0.244309917,2.10E-05,1.88E-05,0.338638022,0.764411513,-0.470265423,-0.116672781,,
pgs-1,0.517248631,-0.299249351,2.26E-05,2.30E-05,0.274133288,0.723015398,-0.562038601,-0.140852455,,
Y48G1C.5,0.918664336,-0.039629057,1.59E-05,1.18E-05,0.797244817,1.03840726,-0.098408296,0.016367716,,
csk-1,0.712044299,-0.153676182,2.07E-05,1.62E-05,0.494257412,0.881186382,-0.306047644,-0.054932239,,
csk-1,0.685651183,-0.171501696,2.17E-05,1.85E-05,0.454220641,0.863066084,-0.342733135,-0.063955957,,
csk-1,0.6580652,-0.205369771,4.37E-05,2.94E-05,0.304450268,1.121467291,-0.516483691,0.049786508,,
Y48G1C.10,0.932238936,-0.034160748,1.90E-05,1.37E-05,0.771807204,1.078954233,-0.112491175,0.033003021,,
Y48G1C.6,0.888104677,-0.05771222,2.85E-05,1.52E-05,0.59862383,1.151056508,-0.222845999,0.061096633,,
Y48G1C.10,0.875054002,-0.063167796,2.33E-05,1.52E-05,0.645332881,1.081701102,-0.190216213,0.034107271,,
Y48G1C.10,0.902486503,-0.058117814,4.13E-05,2.34E-05,0.498138228,1.300562702,-0.302650856,0.114131294,,
Y48G1C.9,1.266718984,0.095927745,4.29E-05,1.59E-05,0.863825341,1.696257967,-0.06357406,0.229491898,,
pid-2,1.381047249,0.133593455,3.06E-05,2.13E-05,1.170918388,1.649556366,0.068526626,0.217367132,,
Y48G1C.13,0.699040055,-0.171281517,3.61E-05,2.43E-05,0.364197058,1.06515567,-0.438663568,0.027413075,,
Y48G1C.8,1.310951114,0.115984313,1.84E-05,8.74E-06,1.18905973,1.50929069,0.075203671,0.178772891,,
Y48G1C.8,1.311801314,0.116133519,1.86E-05,9.32E-06,1.188637894,1.506101169,0.075049564,0.177854142,,
rab-11.1,1.695359349,0.226320237,4.10E-05,9.95E-06,1.378685965,2.208679461,0.139465353,0.344132692,,
rpl-7,3.004395247,0.47322911,0.000103585,1.16E-05,2.527566355,4.178606697,0.402702546,0.621031449,,
F53G12.9,1.296151996,0.108630344,3.09E-05,1.35E-05,1.031300186,1.59943329,0.013385091,0.203966128,,
F53G12.9,1.459370255,0.155111119,5.33E-05,2.01E-05,0.975481125,1.984608059,-0.010781134,0.29767474,,
F53G12.8,1.000634432,-0.006653026,3.20E-05,1.71E-05,0.705033048,1.307058249,-0.151790526,0.116294942,,
col-45,1.490026116,0.170785382,3.18E-05,9.12E-06,1.219792973,1.842780049,0.086286125,0.265473481,,
col-45,1.463443279,0.162030891,3.67E-05,1.08E-05,1.135685825,1.87328833,0.055258204,0.27260459,,
spe-8,1.442203283,0.156629637,2.62E-05,1.03E-05,1.247400786,1.723841805,0.096006013,0.236497261,,
mex-3,1.949501395,0.28774786,3.86E-05,9.04E-06,1.689939649,2.480543474,0.227871195,0.394546797,,
mex-3,2.008217335,0.300723523,4.08E-05,8.42E-06,1.741534092,2.581006873,0.240931974,0.411789145,,
mex-3,1.992420316,0.295946211,5.18E-05,1.08E-05,1.590136044,2.658420807,0.201434278,0.424623726,,
F53G12.4,0.99214083,-0.007701374,2.50E-05,1.33E-05,0.756976371,1.214295745,-0.120917782,0.084324473,,
