fit1,fit2,fit3,fit4
0.681593351,0.60796105,0.61668037,0.620602924
-0.496007071,-0.43519762,-0.530236196,-0.385815946
0.143597351,0.112634816,0.025892944,0.193112556
0,0,0,0
-0.707528874,-0.673807346,-0.733947825,-0.538231839
0,0,0,0
-0.502316005,-0.448830175,-0.539357255,-0.419094861
0,0,0,0
0.831684787,0.717993826,0.844114911,0.683314591
0,0,0,0
-0.97601782,-0.862793829,-0.944164287,-0.884642735
0,0,0,0
-0.427717118,-0.37699447,-0.365942215,-0.363052815
-0.321323812,-0.251684256,-0.373638974,-0.191160891
0.018997609,0.012719108,-0.109015263,0.075218327
0,0,0,0
-0.640447788,-0.590935389,-0.650920851,-0.541862586
0,0,0,0
1.072338373,0.956347036,0.905704103,0.993035502
-0.833237493,-0.723027109,-0.792253189,-0.708807219
0,0,0,0
1.063514533,0.986304055,1.047735833,0.975291902
0,0,0,0
0.580071349,0.488376727,0.431573005,0.503170301
-0.713696446,-0.65065645,-0.737911728,-0.621229861
-0.280499826,-0.243789828,-0.301895968,-0.195436446
-0.128455241,-0.174255038,-0.159459338,-0.192392871
1.380440675,1.246959534,1.255155738,1.232946718
0,0,0,0
-0.709924042,-0.689554184,-0.729146725,-0.675616461
0,0,0,0
-0.802690639,-0.695254814,-0.657633019,-0.734637849
-0.49110339,-0.37993059,-0.463736846,-0.342024803
-0.706318528,-0.552401285,-0.647986572,-0.518976783
0,0,0,0
0.386707301,0.30638934,0.400792357,0.264528169
0,0,0,0
0.715643328,0.672008738,0.627159864,0.579426509
0.897325075,0.819203507,0.677697826,0.781536905
0.892545318,0.876912085,0.797046316,0.836402819
-0.267078985,-0.2822052,-0.37047811,-0.252423452
0.536742845,0.582401981,0.396652784,0.564957164
0,0,0,0
0.350081686,0.344734392,0.31515681,0.351763128
-0.563043159,-0.480831562,-0.625090557,-0.461456528
-0.460876022,-0.278597897,-0.430551844,-0.242771843
0,0,0,0
0.441503311,0.408859412,0.374437496,0.395240742
-0.718462227,-0.709095868,-0.781252081,-0.631954592
-0.112915063,-0.085560609,-0.171437831,-0.036302356
0,0,0,0
0.531941017,0.514994724,0.48155261,0.522460672
-0.708852902,-0.593430106,-0.709420525,-0.553068391
-0.283380548,-0.165563103,-0.308943756,-0.12063482
0,0,0,0
-0.791594973,-0.744827466,-0.800430159,-0.715718827
0,0,0,0
-0.830156756,-0.706152371,-0.807545263,-0.641889751
0,0,0,0
