WBID,Phi_WholeGenome
WBGene00022277,0.996552169
WBGene00022276,1.534340382
WBGene00022276,1.691393375
WBGene00022278,0.93138212
WBGene00022278,0.926205099
WBGene00022278,0.925925851
WBGene00022278,1.013313413
NA,0.998066783
WBGene00022279,0.708866775
WBGene00022275,0.90705359
WBGene00044345,0.955286145
WBGene00021677,0.590230346
WBGene00021677,0.526767969
WBGene00021678,0.920993149
WBGene00000812,0.723896503
NA,0.693586171
WBGene00000812,0.660643697
WBGene00021683,0.93523711
WBGene00021679,0.897159696
WBGene00021683,0.879154682
WBGene00021683,0.912948847
WBGene00021682,1.257664323
WBGene00021676,1.37311089
WBGene00189949,0.699945927
WBGene00021681,1.303034425
WBGene00021681,1.302762866
NA,1.67327857
WBGene00004418,2.922488689
WBGene00018774,1.283933163
WBGene00018774,1.454408526
WBGene00018773,1.002898574
WBGene00000622,1.470934868
WBGene00000622,1.450005889
WBGene00004962,1.427007079
WBGene00003229,1.917546511
WBGene00003229,1.978026032
WBGene00003229,1.957588911
WBGene00018772,0.994683385
WBGene00018771,0.819334686
NA,1.273501635
WBGene00000253,0.835287094
WBGene00004225,1.255768895
WBGene00004225,1.303986073
WBGene00018958,1.39827776
WBGene00018958,1.419124484
WBGene00018957,1.843022466
WBGene00018957,1.679534912
WBGene00018955,1.059552789
NA,1.113744378
WBGene00000227,1.108467579
WBGene00021666,0.840379298
NA,1.002333164
WBGene00021662,1.577833652
WBGene00255594,1.504406571
NA,1.70747149
WBGene00021671,0.929477751
WBGene00021672,0.922631443
NA,0.578865051
NA,1.007829547
WBGene00021667,1.85193491
WBGene00021675,1.183748245
WBGene00016903,0.963031352
WBGene00016904,1.4922297
WBGene00016905,0.893197238
WBGene00016905,0.906159937
WBGene00016905,0.830847085
WBGene00016905,0.956706524
WBGene00016905,0.973520875
WBGene00016905,0.950907707
WBGene00016902,0.888360441
WBGene00016902,0.889538646
WBGene00016902,0.866111517
WBGene00016902,0.817233622
WBGene00016906,1.177294374
WBGene00016906,1.198964596
WBGene00002077,2.041058302
NA,0.987935066
WBGene00002079,1.736774564
WBGene00002079,1.413884521
WBGene00021660,1.338081002
WBGene00000917,1.050553203
WBGene00021661,1.045284271
NA,1.063861728
WBGene00021658,1.503998876
WBGene00021657,0.938668191
NA,0.916102648
WBGene00020091,1.601256132
WBGene00020091,1.403270245
WBGene00020088,1.038392186
WBGene00020089,1.291712284
WBGene00004143,1.103907824
WBGene00006385,0.802116454
WBGene00020090,0.896464646
WBGene00020090,0.893274009
WBGene00021733,0.653459251
WBGene00021733,0.608917713
WBGene00021734,0.925115407
WBGene00015570,0.866298318
WBGene00006593,1.296715975
WBGene00021026,1.601626277
WBGene00021027,1.1224823
WBGene00021025,0.984173536
WBGene00235388,1.077645302
WBGene00021028,0.870766222
WBGene00021024,1.544007778
WBGene00001814,1.753290653
WBGene00001814,1.812015653
WBGene00022035,1.496115088
WBGene00022035,1.46971643
WBGene00022036,1.387512088
WBGene00022034,1.422661901
WBGene00022034,1.410349131
WBGene00022039,1.057558537
WBGene00022039,1.105206728
WBGene00022037,2.070282698
WBGene00022037,2.062850475
WBGene00022037,2.074731112
WBGene00022038,1.721420288
WBGene00022038,1.819617033
WBGene00022033,1.548877001
WBGene00022033,2.092890739
WBGene00022043,1.274831653
NA,2.952753544
WBGene00022042,2.981790543
WBGene00022042,2.943778992
WBGene00022042,2.264201641
WBGene00007009,1.488629699
WBGene00007009,1.490638852
WBGene00007009,1.572721004
WBGene00007009,1.576781869
WBGene00004235,1.601107955
WBGene00002393,0.753010929
WBGene00002393,0.759054065
WBGene00002393,0.73647964
WBGene00002393,0.743327856
WBGene00002393,0.884687126
WBGene00002393,0.903320134
WBGene00022040,1.745391846
NA,0.924906254
WBGene00001725,2.628452778
WBGene00001725,2.479511023
WBGene00001725,2.541197777
WBGene00044427,0.750865877
WBGene00235390,0.915326655
WBGene00002040,1.213709831
WBGene00002040,1.209749699
WBGene00018923,1.164040208
WBGene00018923,1.147494555
WBGene00018923,1.168363929
WBGene00018923,1.194297552
WBGene00018921,1.629034519
WBGene00018921,1.61356461
WBGene00022028,0.73599869
WBGene00022029,2.075845957
WBGene00022029,2.195469618
WBGene00022027,1.20654583
WBGene00022026,1.307522893
WBGene00022026,1.196829438
WBGene00022026,1.312049508
WBGene00022030,1.284163237
WBGene00022030,1.359656811
WBGene00022025,1.177224636
WBGene00022031,1.401805878
WBGene00022032,2.030574322
WBGene00022032,1.651711702
WBGene00044461,0.74962908
WBGene00021215,1.356385589
WBGene00021215,1.547925234
WBGene00021215,1.340583205
WBGene00021215,1.602106571
WBGene00021214,1.051651955
WBGene00021207,1.225017309
WBGene00021210,1.333104253
NA,1.326697111
NA,1.297058463
WBGene00021209,1.402458191
WBGene00021209,1.402326703
WBGene00021209,1.548848033
WBGene00021209,1.665832281
WBGene00021209,1.683540583
WBGene00021211,0.823651969
WBGene00021211,1.121137261
WBGene00004028,1.305340528
WBGene00004028,1.33033824
WBGene00004028,1.396342039
WBGene00004028,1.335530758
WBGene00044434,1.296343923
WBGene00236789,0.743082345
WBGene00000623,1.141818881
WBGene00000624,0.749959171
WBGene00000624,0.580761671
WBGene00021213,1.302278399
WBGene00021212,1.160216451
WBGene00021212,1.143582821
WBGene00020282,1.201411366
WBGene00020283,1.386506557
WBGene00020283,1.365214944
WBGene00020281,1.408634901
WBGene00020281,1.521200657
WBGene00022518,1.585933208
WBGene00022518,1.586572528
NA,1.586242318
WBGene00022518,1.55463779
WBGene00022518,1.539430022
WBGene00022518,1.531578779
WBGene00022517,1.642007232
WBGene00022519,1.408043981
WBGene00022519,1.34140718
WBGene00022519,1.24061501
WBGene00022388,1.302535534
WBGene00022389,1.512767196
WBGene00022389,1.720991254
WBGene00022389,1.482454777
WBGene00022386,1.223863721
WBGene00022386,1.209357858
WBGene00022386,1.135953665
WBGene00022386,1.139421463
WBGene00022390,1.391555429
WBGene00022390,1.393432379
WBGene00022390,1.427189112
WBGene00001678,1.375201702
WBGene00001678,1.255671263
WBGene00001678,1.295306206
WBGene00022385,1.386777401
WBGene00022391,1.611132383
WBGene00022391,1.600562811
WBGene00022391,1.599703074
WBGene00022391,1.589500189
WBGene00022391,1.639889598
WBGene00022391,1.628507376
WBGene00022383,1.307173252
WBGene00003548,1.633505702
WBGene00003238,1.572038531
WBGene00003238,1.580893397
WBGene00018787,1.333394766
WBGene00018787,1.459299564
NA,1.245133877
WBGene00018788,1.318729281
WBGene00018786,1.582255244
WBGene00016932,1.351485252
NA,1.063197613
NA,1.092074752
NA,1.241620183
WBGene00016930,1.124753952
WBGene00016930,1.096911907
WBGene00236808,1.278000593
WBGene00005002,1.839637518
WBGene00021335,1.853172064
WBGene00021327,1.258053064
