WBID,PHI_Emb
WBGene00001108,0.361449331
WBGene00019514,0.531957626
WBGene00000695,0.48934415
WBGene00219310,0.395001501
WBGene00001075,1.496832967
WBGene00001828,0.982888281
WBGene00001076,2.530455351
WBGene00013145,0.447259039
WBGene00009029,0.29777205
WBGene00016549,0.655194521
WBGene00018824,0.807405651
WBGene00002085,0.738416433
WBGene00044417,0.854697466
WBGene00003717,0.382630557
WBGene00018489,1.436258554
WBGene00189995,0.765889764
WBGene00000469,0.751372874
WBGene00017143,0.565700531
WBGene00015613,0.834196389
WBGene00001105,1.218854904
WBGene00021279,0.816246986
WBGene00011175,0.708043337
WBGene00012899,0.316718578
WBGene00044383,0.384967983
WBGene00002117,1.585920334
WBGene00021525,1.111014485
WBGene00010234,1.55752933
WBGene00001858,2.779016733
WBGene00004155,0.427781552
WBGene00008263,1.087899923
WBGene00008563,0.548116505
WBGene00009156,1.176297784
WBGene00018606,0.410241157
WBGene00008102,0.520699441
WBGene00008779,0.375648201
WBGene00021726,0.576211154
WBGene00001123,0.779599428
WBGene00016359,0.136794269
WBGene00009292,0.483775258
WBGene00011906,1.234877586
WBGene00011508,1.822715282
WBGene00001958,1.100927114
WBGene00017296,1.304863811
WBGene00009361,1.652913809
WBGene00011104,0.57450515
WBGene00010893,0.372677952
WBGene00010189,0.728587329
WBGene00000301,2.018213034
WBGene00002248,0.455097765
WBGene00044024,0.559137523
WBGene00001432,0.459642589
WBGene00022349,0.563767493
WBGene00016088,2.001832724
WBGene00021513,0.937080443
WBGene00009653,0.915838957
WBGene00012420,1.365887165
WBGene00044756,0.39907077
WBGene00014199,0.614401937
WBGene00018547,1.5285604
WBGene00009041,1.646662712
WBGene00017133,0.697469413
WBGene00019661,0.748030603
WBGene00018355,0.704556346
WBGene00016069,0.742884398
WBGene00013982,0.401363075
WBGene00001950,1.007386446
WBGene00012239,0.914159
WBGene00016295,0.741305232
WBGene00019426,0.503459394
WBGene00015311,0.385988712
WBGene00013418,1.432436347
WBGene00194651,0.289815456
WBGene00009212,1.033271313
WBGene00017481,1.147704959
WBGene00045379,0.231477171
WBGene00000778,0.746311367
WBGene00002124,1.270438075
WBGene00001210,0.998765051
WBGene00021547,0.803208232
WBGene00015063,0.479958385
WBGene00000220,0.238659516
WBGene00021576,1.120981693
WBGene00020379,1.666649222
WBGene00000561,0.532162189
WBGene00015569,0.673580706
WBGene00001824,0.708779275
WBGene00012436,0.562896073
WBGene00022612,0.645678282
WBGene00008776,0.219455659
WBGene00008851,0.869921803
WBGene00000652,0.686260581
WBGene00020626,0.866591692
WBGene00019282,0.446971446
WBGene00015518,1.576462626
WBGene00016457,1.047464967
WBGene00018256,0.701081574
WBGene00000516,1.780158758
WBGene00011383,1.044870138
WBGene00018041,0.835921109
WBGene00021976,0.762671947
WBGene00018743,1.279770494
WBGene00044631,0.259135753
WBGene00020976,0.29724142
WBGene00219313,0.705842733
WBGene00014089,0.31530261
WBGene00011665,0.320149601
WBGene00013135,0.792821527
WBGene00019279,0.667998075
WBGene00008168,0.339043856
WBGene00010491,1.878283262
WBGene00004827,1.084933162
WBGene00016319,0.520435631
WBGene00020920,0.911860347
WBGene00007170,0.216572195
WBGene00021725,0.861144364
WBGene00015781,1.581278205
WBGene00000395,0.381378204
WBGene00009818,1.923750162
WBGene00015019,0.18352215
WBGene00008310,0.669206858
WBGene00020919,0.865111232
WBGene00011948,1.059079766
WBGene00016641,1.203605771
WBGene00008971,0.514746487
WBGene00021468,1.112321138
WBGene00012628,1.176865578
WBGene00019318,0.496383935
WBGene00011838,0.377337664
WBGene00018304,0.252614737
WBGene00000387,1.487502098
WBGene00008543,0.266616732
WBGene00011739,0.715847492
WBGene00001976,2.326842308
WBGene00007800,0.277375519
WBGene00017154,0.78072834
WBGene00013082,1.22476244
WBGene00000928,2.54654789
WBGene00013852,0.855771899
WBGene00013846,0.514086127
WBGene00020800,0.241377339
WBGene00011833,0.573132217
WBGene00005018,3.304435492
WBGene00009899,0.709817827
WBGene00008401,0.289503485
WBGene00002125,1.560211897
WBGene00020921,1.114956856
WBGene00003375,1.929880619
WBGene00044949,0.607340872
WBGene00011509,0.724286735
WBGene00010051,1.020200253
WBGene00011524,1.762495875
WBGene00001429,0.493956655
WBGene00003516,0.742117882
WBGene00007225,1.332226634
WBGene00015541,0.498643011
WBGene00020194,1.526223898
WBGene00002062,0.742500722
WBGene00007266,0.574956179
WBGene00018738,0.483897597
WBGene00016133,1.096675992
WBGene00001475,0.402849525
WBGene00017535,0.242110968
WBGene00017576,0.326132357
WBGene00015268,1.323774695
WBGene00000792,0.852041781
WBGene00001991,0.330458403
WBGene00045246,0.387430727
WBGene00019832,0.647093892
WBGene00022591,0.696317494
WBGene00016135,0.457764506
WBGene00013289,1.074649334
WBGene00001853,2.987782955
WBGene00003738,0.721499622
WBGene00019280,0.754900157
WBGene00001165,0.565477312
WBGene00006852,0.358868361
WBGene00015934,0.269356608
WBGene00002497,0.651920795
WBGene00019317,0.690742016
WBGene00001163,0.337071955
WBGene00004216,0.275715649
WBGene00020378,0.606018066
WBGene00016146,1.817571878
WBGene00013849,0.52338624
WBGene00016192,1.152069807
WBGene00009939,0.970905244
WBGene00019843,0.480312735
WBGene00011956,0.446739644
WBGene00004092,0.822314858
WBGene00020160,1.294949055
WBGene00007855,1.503636956
WBGene00020130,0.49507013
WBGene00016841,0.58220613
WBGene00002182,0.178365275
WBGene00017381,0.836143553
WBGene00007900,0.312844992
WBGene00001069,1.360603809
WBGene00001949,0.446458071
WBGene00009926,2.29387641
WBGene00018275,0.32578212
WBGene00006063,1.705735683
WBGene00022248,0.462905079
WBGene00001898,3.819758177
WBGene00022418,0.672995627
WBGene00019491,0.334989011
WBGene00219208,0.548294067
WBGene00002247,0.973609269
WBGene00021095,1.683832645
WBGene00008666,0.248678416
WBGene00011434,1.446358442
WBGene00015096,1.028089404
WBGene00015523,0.504103601
WBGene00007372,0.91887033
WBGene00000397,0.350017309
WBGene00010738,1.225903869
WBGene00011345,0.461146057
WBGene00007750,0.716682613
WBGene00019947,2.902727842
WBGene00019839,2.71355772
WBGene00004998,0.842232406
WBGene00000526,0.598375082
WBGene00002393,0.528620243
WBGene00015687,1.841495752
WBGene00002081,0.465500295
WBGene00020104,1.0144099
WBGene00012255,1.503058553
WBGene00000858,0.196214423
WBGene00011977,1.794055462
WBGene00006538,1.498977304
WBGene00007257,0.269506544
WBGene00000463,0.522135735
WBGene00009288,0.681823134
WBGene00019154,1.766126752
WBGene00002037,0.620502889
WBGene00005000,0.671344519
WBGene00015552,0.901840746
WBGene00015171,0.950820684
WBGene00044508,0.247944623
WBGene00013585,0.515332103
WBGene00015531,0.669214547
WBGene00015620,0.172810942
WBGene00020738,3.440078974
WBGene00015474,1.261459112
WBGene00018386,0.799727082
WBGene00235268,0.853055
WBGene00012807,0.696631253
WBGene00016974,0.208159894
WBGene00016996,1.255504727
WBGene00003772,0.314938009
WBGene00011760,0.569404602
WBGene00004786,0.803193629
WBGene00044082,0.556757867
WBGene00006869,1.262232184
WBGene00016422,1.870271444
WBGene00007479,1.853785992
WBGene00022283,1.123269916
WBGene00013872,0.69464463
WBGene00022727,0.339231849
WBGene00016617,0.484898061
WBGene00022099,2.074615955
WBGene00014153,0.909971952
WBGene00010870,0.540197849
WBGene00004219,0.950402319
WBGene00007139,0.870140731
WBGene00013477,1.77583921
WBGene00000863,0.822866797
WBGene00004224,0.189670458
WBGene00006379,0.172087535
WBGene00020693,0.326561362
WBGene00009162,0.234203488
WBGene00021963,0.397989243
WBGene00013321,0.603117704
WBGene00017990,1.073407412
WBGene00004855,1.046868801
WBGene00000857,0.800263584
WBGene00023491,0.626089692
WBGene00011447,0.440983117
WBGene00001820,1.34038794
WBGene00000493,0.153805837
WBGene00008426,0.553627908
WBGene00018215,0.687753022
WBGene00016913,1.334853053
WBGene00006561,0.436798632
WBGene00018392,0.287282288
WBGene00000523,0.615786552
WBGene00014141,1.232369542
WBGene00019520,1.347059727
WBGene00003634,0.311600596
WBGene00007552,0.381658584
WBGene00021427,2.89037323
WBGene00018607,0.597328544
WBGene00018175,0.30486396
WBGene00007417,0.461656451
WBGene00010285,0.924714148
